age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
28.0,4,266070.0,10,0,6,0,0,1,0.0,0.0,40.0,1,0
39.0,4,139743.0,9,-1,3,0,0,1,0.0,0.0,20.0,1,0
47.0,4,606752.0,14,-1,5,0,0,0,0.0,0.0,40.0,1,0
39.0,4,219483.0,13,2,7,1,0,1,5013.0,0.0,32.0,1,0
21.0,4,342575.0,10,0,3,3,1,1,0.0,0.0,30.0,1,0
38.0,6,257250.0,9,0,1,0,0,0,0.0,0.0,50.0,1,0
37.0,1,102936.0,13,-1,7,2,0,1,0.0,0.0,55.0,1,0
22.0,1,326283.0,10,0,6,3,-1,0,0.0,0.0,20.0,1,0
47.0,4,275867.0,9,2,7,1,0,0,0.0,0.0,40.0,1,0
22.0,4,269687.0,10,0,3,3,0,0,0.0,0.0,35.0,1,0
57.0,3,192258.0,10,-1,3,3,0,0,0.0,0.0,40.0,1,0
57.0,5,177271.0,16,2,7,1,0,0,0.0,0.0,35.0,1,0
32.0,4,288229.0,10,2,3,-1,-1,1,0.0,0.0,40.0,0,0
19.0,4,223669.0,7,0,2,3,0,0,0.0,0.0,20.0,1,0
36.0,1,126569.0,13,-1,2,3,0,0,0.0,0.0,40.0,1,0
55.0,4,236731.0,2,0,2,0,0,0,0.0,0.0,40.0,0,0
33.0,4,91811.0,9,-1,2,0,0,0,0.0,0.0,40.0,1,0
29.0,4,137063.0,9,0,3,2,0,0,0.0,0.0,38.0,1,0
23.0,4,129345.0,6,0,2,0,0,0,0.0,0.0,50.0,1,0
30.0,4,167790.0,9,0,3,3,0,1,0.0,0.0,40.0,1,0
24.0,4,99386.0,13,1,7,3,0,1,0.0,0.0,40.0,1,0
49.0,4,207772.0,9,-1,5,2,0,0,0.0,0.0,40.0,1,0
34.0,4,275771.0,9,-1,6,2,0,1,0.0,0.0,50.0,1,0
25.0,4,143062.0,13,0,2,3,0,1,2463.0,0.0,30.0,1,0
31.0,4,288983.0,10,0,4,0,0,0,0.0,0.0,40.0,1,0
24.0,4,509629.0,9,0,2,3,0,1,0.0,0.0,25.0,1,0
61.0,6,134768.0,10,2,3,1,0,0,0.0,0.0,40.0,1,0
20.0,4,344492.0,9,-1,3,3,0,1,0.0,0.0,26.0,1,0
24.0,4,72143.0,13,0,3,0,0,1,0.0,0.0,20.0,1,0
29.0,4,189346.0,9,0,2,2,0,0,0.0,0.0,40.0,1,0
54.0,2,88528.0,14,0,7,2,0,1,0.0,0.0,37.0,1,0
46.0,6,168796.0,13,2,3,1,0,0,0.0,0.0,55.0,1,0
44.0,4,124924.0,9,2,6,1,0,0,0.0,0.0,40.0,0,0
23.0,4,209955.0,10,0,3,3,0,0,0.0,0.0,40.0,1,0
35.0,4,302239.0,10,0,3,0,0,1,0.0,0.0,40.0,1,0
45.0,2,207847.0,10,0,3,2,0,1,0.0,0.0,40.0,1,0
62.0,6,236096.0,9,-1,6,0,1,0,0.0,0.0,40.0,1,0
24.0,1,117109.0,13,0,3,3,1,1,0.0,0.0,27.0,1,0
50.0,4,44728.0,9,2,3,1,0,0,0.0,0.0,40.0,1,0
48.0,1,452402.0,16,0,7,2,1,1,0.0,0.0,15.0,1,0
34.0,5,289731.0,7,2,3,1,0,0,0.0,0.0,40.0,1,0
58.0,4,109159.0,9,-1,5,2,0,1,0.0,0.0,38.0,1,0
