age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,cond
32.0,R,,0.0,0.0,30.0,0.0,0.0,70.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,Monthly,0.0,0.0,0.0,0.0,Virgo,0.0,0.0,19.0,0.83,1.0,0
46.0,na,554.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Pisces,1.0,0.0,2.0,0.07,0.0,0
26.0,na,490.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,na,0.0,0.0,0.0,0.0,Leo,0.0,0.0,1.0,0.03,0.0,2
25.0,na,,0.0,0.0,27.0,0.0,0.0,61.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Monthly,0.0,0.0,0.0,0.0,Gemini,0.0,0.0,13.0,0.59,1.0,0
50.0,R,578.0,1.0,0.0,18.0,1.0,0.0,68.0,0.0,0.0,25.0,1.0,1.0,1.0,0.0,1.0,0.0,Weekly,0.0,0.0,0.0,0.0,Libra,0.0,0.0,14.0,0.47,1.0,0
29.0,na,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Scorpio,1.0,0.0,,0.0,0.0,0
27.0,R,579.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,Weekly,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,,0.0,0.0,0
31.0,R,662.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,Semi-Monthly,0.0,0.0,0.0,0.0,Taurus,0.0,0.0,58.0,1.93,0.0,0
32.0,na,,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Scorpio,0.0,0.0,13.0,0.43,0.0,0
55.0,na,577.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,Weekly,0.0,0.0,0.0,1.0,Taurus,0.0,0.0,8.0,0.27,1.0,1
19.0,na,,0.0,0.0,46.0,0.0,0.0,159.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,na,0.0,0.0,0.0,0.0,na,0.0,0.0,33.0,1.1,0.0,0
26.0,R,,1.0,1.0,55.0,1.0,0.0,111.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,Weekly,0.0,0.0,0.0,0.0,na,0.0,0.0,18.0,0.6,0.0,0
49.0,na,,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Semi-Monthly,0.0,0.0,0.0,0.0,Capricorn,0.0,0.0,59.0,1.97,0.0,0
21.0,na,,0.0,0.0,7.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,na,0.0,0.0,0.0,0.0,Sagittarius,0.0,1.0,3.0,0.25,0.0,0
31.0,R,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,Bi-Weekly,0.0,0.0,0.0,0.0,Scorpio,0.0,0.0,,0.0,0.0,0
24.0,na,430.0,0.0,0.0,12.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Weekly,0.0,0.0,0.0,0.0,Aries,0.0,0.0,2.0,0.07,0.0,0
34.0,R,,9.0,1.0,46.0,9.0,0.0,127.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,Bi-Weekly,0.0,1.0,0.0,0.0,Aquarius,0.0,0.0,31.0,1.03,1.0,0
55.0,na,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,na,0.0,0.0,0.0,0.0,Libra,0.0,0.0,,0.0,0.0,0
29.0,R,,1.0,1.0,85.0,1.0,0.0,267.0,0.0,0.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Taurus,0.0,0.0,60.0,2.0,1.0,0
25.0,R,505.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Gemini,0.0,0.0,1.0,0.03,0.0,0
23.0,na,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Virgo,0.0,0.0,1.0,0.2,0.0,0
32.0,na,552.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,na,0.0,0.0,0.0,0.0,Aquarius,0.0,0.0,8.0,0.27,0.0,1
25.0,R,572.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,Weekly,0.0,0.0,1.0,0.0,Aquarius,0.0,0.0,60.0,2.0,0.0,0
29.0,R,502.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,Bi-Weekly,0.0,0.0,0.0,0.0,Pisces,0.0,0.0,68.0,2.27,0.0,0
22.0,na,500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Leo,1.0,0.0,,0.0,0.0,0
33.0,R,457.0,24.0,3.0,40.0,24.0,0.0,119.0,0.0,0.0,47.0,1.0,1.0,1.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Scorpio,0.0,0.0,30.0,1.0,1.0,0
19.0,na,632.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,69.0,2.3,0.0,0
26.0,na,,0.0,0.0,7.0,0.0,0.0,17.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,3.0,0.16,0.0,0
34.0,na,536.0,1.0,0.0,47.0,0.0,0.0,127.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,Semi-Monthly,0.0,0.0,0.0,0.0,na,0.0,0.0,29.0,0.97,1.0,0
44.0,R,554.0,0.0,0.0,1.0,0.0,0.0,117.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,na,0.0,0.0,42.0,1.4,0.0,0
44.0,R,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,na,0.0,0.0,0.0,0.0,Sagittarius,0.0,0.0,1.0,0.5,1.0,0
39.0,R,517.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Capricorn,0.0,0.0,2.0,0.67,0.0,0
23.0,R,636.0,6.0,4.0,59.0,6.0,0.0,159.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,1.0,2.0,Bi-Weekly,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,13.0,1.86,1.0,2
64.0,R,613.0,0.0,0.0,43.0,0.0,0.0,159.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,40.0,1.33,0.0,0
