ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,cond
72,184.0,2.0,66.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,32.0,5.0,34.0,1.0,3.0,1.0,48.0,85.0,7.0,4.0,1.0,65.0,0.0
72,348.0,16.0,79.0,36.0,0.0,0.0,100.0,-7.0,7.0,8.0,36.0,0.0,31.0,-8.0,0.0,0.0,39.0,89.0,4.0,6.0,2.0,67.0,0.0
-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0
68,269.0,12.0,115.0,18.0,0.0,0.0,89.0,54.0,6.0,6.0,18.0,0.0,28.0,0.0,0.0,0.0,68.0,84.0,9.0,1.0,4.0,83.0,0.0
72,255.0,2.0,92.0,41.0,0.0,0.0,98.0,11.0,6.0,6.0,42.0,1.0,17.0,0.0,3.0,3.0,9.0,-8.0,9.0,-8.0,1.0,53.0,0.0
90,332.0,14.0,145.0,8.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,0.0,38.0,-8.0,0.0,0.0,4.0,24.0,2.0,1.0,0.0,60.0,0.0
82,260.0,21.0,104.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,0.0,43.0,4.0,2.0,2.0,4.0,-8.0,1.0,-8.0,0.0,17.0,0.0
79,198.0,24.0,102.0,9.0,1.0,1.0,90.0,54.0,6.0,2.0,10.0,0.0,40.0,0.0,0.0,0.0,1.0,-8.0,2.0,1.0,0.0,43.0,0.0
59,247.0,4.0,92.0,31.0,4.0,3.0,97.0,44.0,6.0,5.0,33.0,3.0,21.0,2.0,4.0,3.0,53.0,-8.0,5.0,1.0,3.0,47.0,0.0
92,406.0,8.0,149.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,1.0,38.0,0.0,2.0,2.0,5.0,92.0,1.0,1.0,0.0,50.0,0.0
86,12.0,9.0,62.0,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,-8.0,1.0,-8.0,0.0,25.0,0.0
80,179.0,3.0,76.0,40.0,0.0,0.0,100.0,-7.0,7.0,8.0,41.0,4.0,24.0,0.0,0.0,0.0,22.0,24.0,7.0,2.0,2.0,60.0,0.0
69,142.0,2.0,42.0,15.0,2.0,2.0,83.0,35.0,6.0,2.0,18.0,3.0,39.0,0.0,0.0,0.0,19.0,43.0,4.0,3.0,0.0,64.0,0.0
80,318.0,2.0,84.0,38.0,0.0,0.0,100.0,-7.0,7.0,8.0,59.0,2.0,41.0,0.0,2.0,2.0,3.0,41.0,4.0,4.0,0.0,53.0,0.0
80,163.0,3.0,71.0,33.0,0.0,0.0,100.0,-7.0,7.0,8.0,33.0,2.0,9.0,0.0,1.0,1.0,3.0,62.0,5.0,2.0,1.0,32.0,0.0
85,346.0,3.0,68.0,35.0,0.0,0.0,97.0,-8.0,6.0,6.0,39.0,7.0,36.0,0.0,3.0,3.0,1.0,64.0,1.0,3.0,0.0,25.0,0.0
74,462.0,5.0,66.0,20.0,0.0,0.0,90.0,38.0,6.0,6.0,27.0,2.0,20.0,4.0,2.0,2.0,41.0,-8.0,4.0,1.0,2.0,83.0,0.0
84,391.0,18.0,84.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,0.0,22.0,3.0,1.0,1.0,11.0,-8.0,4.0,-8.0,0.0,33.0,0.0
79,121.0,44.0,72.0,11.0,0.0,0.0,91.0,30.0,6.0,6.0,11.0,0.0,55.0,-7.0,0.0,0.0,11.0,-8.0,1.0,1.0,0.0,67.0,0.0
88,190.0,2.0,60.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,3.0,41.0,6.0,0.0,0.0,6.0,76.0,1.0,2.0,0.0,33.0,0.0
84,347.0,5.0,75.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,3.0,44.0,4.0,1.0,1.0,2.0,81.0,2.0,3.0,0.0,56.0,0.0
78,179.0,4.0,69.0,32.0,0.0,0.0,100.0,-7.0,7.0,8.0,32.0,4.0,44.0,3.0,2.0,2.0,7.0,2.0,2.0,6.0,0.0,63.0,0.0
58,186.0,6.0,74.0,35.0,0.0,0.0,97.0,26.0,6.0,6.0,38.0,3.0,31.0,-7.0,0.0,0.0,60.0,73.0,10.0,4.0,4.0,67.0,0.0
53,325.0,21.0,114.0,24.0,0.0,0.0,80.0,0.0,4.0,6.0,26.0,0.0,24.0,-7.0,1.0,1.0,82.0,79.0,9.0,4.0,6.0,82.0,1.0
