age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
20,4,200089,3,0,2,2,0,0,0,0,30,0,0
28,4,258231,10,0,3,0,0,1,0,0,40,1,0
50,4,71898,3,2,3,1,-1,1,0,0,35,0,0
32,4,222548,9,-1,3,3,0,1,0,0,40,1,0
50,1,254148,10,2,1,1,0,0,0,0,40,0,0
30,4,112383,9,2,2,1,0,0,0,0,45,1,0
19,4,170800,10,0,2,3,0,0,0,0,20,1,0
49,2,255928,9,2,5,1,0,0,0,0,40,1,0
26,4,200318,6,2,2,1,0,0,0,0,38,1,0
52,4,170562,8,2,2,1,0,0,0,0,40,1,0
24,4,249351,9,2,3,1,0,1,0,0,40,1,0
33,4,124161,9,-1,2,0,0,0,0,0,50,1,0
42,4,134509,10,0,2,2,1,1,0,0,40,1,0
26,4,186151,9,-1,5,3,0,1,0,0,40,1,0
28,1,157437,13,0,4,0,0,1,4650,0,48,1,0
65,4,195568,10,-1,3,0,0,1,0,0,20,1,0
27,4,119170,7,0,6,2,0,1,0,0,45,1,0
49,4,163021,9,-1,6,2,0,1,0,0,40,1,0
27,4,106758,9,-1,3,2,0,1,0,0,45,1,0
24,4,196675,9,2,2,1,1,0,0,0,70,1,0
18,4,71792,9,0,3,3,-1,1,0,0,40,1,0
21,4,292264,9,0,2,0,0,0,0,0,35,1,0
55,4,247552,10,2,3,1,0,0,0,0,56,1,0
25,4,139012,13,0,3,3,-1,0,2174,0,40,0,0
23,4,398904,13,2,7,1,0,1,0,0,40,1,0
31,3,294870,12,2,2,1,0,0,0,0,40,1,0
38,4,177121,10,-1,2,0,0,1,0,0,58,1,0
47,1,128401,16,0,7,2,0,1,0,0,40,1,0
24,4,118792,10,0,3,3,0,1,0,0,12,1,0
41,4,150533,9,2,3,1,0,0,2829,0,40,1,0
57,4,187138,9,-1,3,0,0,1,0,0,40,1,0
76,5,237624,4,2,2,1,0,0,0,0,10,1,0
33,2,111994,10,-1,3,2,0,1,0,0,45,1,0
29,3,157313,11,0,7,0,0,1,0,0,40,1,0
35,4,142282,10,-1,2,2,0,1,0,0,25,1,0
26,4,159732,9,-1,2,0,0,0,0,0,40,1,0
37,4,147638,13,-1,2,2,-1,1,0,0,36,0,0
29,4,352451,9,0,3,2,1,1,0,0,40,1,0
41,4,66118,13,-1,7,3,0,1,0,0,40,1,0
19,4,185695,10,0,2,3,0,1,0,0,20,1,0
23,1,57711,13,0,3,3,0,1,0,0,40,0,0
40,6,111483,13,0,7,3,0,0,0,0,40,1,0
17,4,239947,7,0,3,3,0,0,0,0,40,1,0
31,4,83912,13,2,3,1,0,1,0,0,25,0,0
35,4,338948,9,-1,2,2,1,0,0,0,40,1,0
28,6,80158,9,0,6,3,0,0,0,0,40,1,0
42,3,37997,13,2,6,1,0,0,0,0,40,1,0
36,5,167691,10,0,2,2,0,1,0,0,50,1,0
27,4,329426,13,0,6,0,0,0,0,0,45,1,0
68,1,31725,9,2,1,1,0,0,0,0,40,1,0
65,4,220788,14,0,7,0,0,0,0,0,60,1,0
23,4,71864,10,0,6,0,0,1,0,0,35,1,0
34,4,113198,12,2,3,1,0,0,0,0,28,1,0
35,4,211440,12,2,7,1,0,0,0,0,45,1,0
47,4,181652,9,-1,3,0,0,1,0,0,40,1,0
21,4,248512,10,0,3,3,0,1,0,0,40,1,0
53,4,166386,13,2,3,1,-1,1,0,0,40,0,0
38,4,169872,9,-1,3,2,0,1,3887,0,45,1,0
39,4,341672,11,2,5,1,-1,0,0,0,40,0,0
39,4,136531,9,0,2,0,0,1,0,0,47,1,0
41,4,242804,9,2,2,1,0,0,0,0,40,1,0
20,4,200421,9,0,2,0,0,0,0,0,35,1,0
26,4,263200,10,-1,3,2,0,1,0,0,38,1,0
45,4,72618,11,-1,6,0,0,0,0,0,60,1,0
40,4,379919,10,2,3,1,0,0,0,0,40,1,0
28,4,46987,11,0,5,3,0,1,2174,0,36,1,0
35,4,187711,9,-1,3,0,0,0,0,0,40,1,0
19,4,246226,9,0,2,0,0,1,0,0,40,1,0
58,5,96609,10,-1,3,0,0,1,0,0,40,1,0
62,3,159165,9,-1,6,0,0,1,0,0,36,1,0
25,3,144259,9,0,3,3,1,0,0,0,40,1,0
29,4,243660,10,0,2,0,0,0,0,0,45,1,0
52,4,91093,10,-1,3,0,1,1,0,0,40,1,0
24,4,201680,10,0,3,3,0,0,0,0,40,1,0
49,4,235095,7,2,2,1,0,0,0,0,40,1,0
25,4,109080,10,0,2,3,0,0,0,0,55,1,0
53,4,208402,10,-1,3,2,-1,1,4865,0,45,0,0
26,4,34112,11,0,2,0,0,0,0,0,40,1,0
27,4,162104,4,0,1,3,0,1,0,0,30,1,0
55,4,129173,9,0,2,0,1,0,0,0,40,1,0
37,4,236328,6,2,2,1,0,0,0,0,48,1,0
51,4,153870,10,2,2,1,0,0,0,2603,40,1,0
25,4,385646,9,0,1,3,0,0,0,0,40,1,0
67,5,36876,9,2,1,1,0,0,0,0,40,1,0
28,4,181776,13,0,2,0,0,1,0,0,50,1,0
30,4,54334,5,0,3,0,0,0,0,0,40,1,0
26,4,198289,8,0,1,-1,0,0,0,0,40,0,0
22,4,250647,10,0,3,3,0,0,0,0,12,1,0
25,4,279833,13,0,3,0,0,0,0,1590,44,1,0
31,4,258406,9,2,3,1,0,0,0,0,50,0,0
50,4,160572,9,2,3,1,0,0,3137,0,47,1,0
20,4,155775,9,0,2,3,0,0,0,0,30,1,0
23,1,23438,9,0,7,0,0,1,0,0,40,1,0
35,4,162256,11,-1,3,0,0,1,6849,0,40,1,0
36,4,201519,10,-1,2,0,0,1,0,0,40,1,0
51,1,230767,12,0,3,0,0,0,0,0,38,0,0
58,4,238438,10,2,7,1,0,0,0,0,42,1,0
47,4,186935,7,2,2,1,1,0,0,0,40,1,0
38,4,179488,12,-1,2,0,0,0,0,0,40,1,0
17,4,175024,7,0,2,3,0,0,2176,0,18,1,0
49,6,30751,11,-1,6,0,0,0,0,0,60,1,0
43,3,222756,14,2,2,1,0,0,0,0,40,1,0
39,4,140169,6,-1,2,2,0,1,0,0,40,0,0
57,4,75673,10,-1,3,2,-1,1,0,0,40,1,0
43,4,174325,4,2,2,1,1,0,0,0,40,1,0
45,4,50162,10,2,6,1,0,0,0,0,40,1,0
60,5,261119,9,-1,2,2,0,1,0,0,40,1,0
27,4,34701,13,0,2,0,0,0,0,0,40,1,0
30,4,77143,10,0,3,0,1,0,0,0,25,1,0
35,4,190297,4,2,2,1,0,0,0,0,40,1,0
23,4,154785,10,0,3,-1,-1,1,0,0,40,1,0
42,2,55764,12,-1,7,0,1,0,0,0,40,1,0
60,4,183162,9,-1,3,0,0,1,0,0,40,1,0
