age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
39.0,4,308374.78,9,0,2,2,1,1,0.0,0.0,35.0,0,0
20.0,4,128433.875,6,2,2,1,0,0,0.0,0.0,35.0,1,0
37.0,4,203981.7,13,0,2,0,0,0,0.0,0.0,25.0,0,0
44.0,5,184763.02,5,2,2,0,0,0,0.0,0.0,40.0,0,0
64.58325,5,274493.75,5,-1,2,0,0,1,0.0,0.0,31.30929,1,0
54.0,4,112613.36,13,-1,3,0,0,1,0.0,0.0,40.0,1,0
29.0,4,65321.89,13,0,3,0,0,0,0.0,0.0,50.0,1,0
27.0,5,27633.762,13,0,2,0,0,0,0.0,0.0,40.0,1,0
58.0,4,39078.023,14,-1,6,2,0,1,3612.9941,0.0,40.0,1,0
36.0,4,130139.13,9,-1,3,2,0,1,0.0,0.0,34.880825,0,0
40.0,4,271370.78,10,0,5,0,1,1,0.0,0.0,40.0,1,0
47.0,2,210864.03,10,2,3,1,0,0,0.0,0.0,50.0,1,0
19.0,4,236736.77,9,0,3,2,0,0,0.0,0.0,20.0,1,0
32.0,4,177653.36,9,-1,3,-1,0,1,0.0,0.0,20.0,1,0
46.0,4,203404.6,4,-1,2,2,0,0,0.0,0.0,40.0,1,0
39.0,4,164514.6,13,1,6,0,0,0,0.0,0.0,40.0,1,0
47.0,4,115371.14,9,2,2,1,-1,0,0.0,0.0,40.0,1,0
26.0,4,326539.2,5,0,7,0,0,0,0.0,0.0,40.0,1,0
32.0,4,78495.9,4,0,2,0,0,0,0.0,2091.5193,20.0,0,0
36.0,4,323514.12,9,2,2,1,0,1,0.0,0.0,40.0,1,0
28.0,1,109598.83,9,0,3,0,0,0,0.0,0.0,40.0,1,0
40.0,5,36370.71,7,-1,2,0,0,1,0.0,0.0,40.0,1,0
31.0,4,149922.06,9,-1,2,0,0,0,0.0,0.0,40.0,1,0
40.0,3,77634.09,5,2,4,1,0,0,0.0,0.0,32.0,1,0
25.0,4,381677.6,11,0,6,0,0,1,0.0,0.0,40.0,1,0
38.0,4,220679.72,10,1,3,0,0,0,0.0,0.0,40.0,1,0
62.0,4,539268.7,9,-1,3,0,1,1,0.0,0.0,40.0,1,0
36.0,4,245683.48,13,1,3,0,-1,0,0.0,0.0,55.0,1,0
22.0,4,163487.33,10,0,2,3,0,0,0.0,0.0,40.0,1,0
56.0,5,367922.22,6,-1,1,2,0,1,0.0,0.0,20.0,0,0
41.0,5,120265.414,11,2,6,1,0,0,0.0,0.0,25.0,1,0
31.0,4,212795.28,10,-1,2,2,1,1,0.0,0.0,40.0,1,0
39.0,4,442126.22,5,-1,3,2,0,1,0.0,0.0,40.0,0,0
21.0,4,324231.44,7,2,3,1,0,0,0.0,0.0,40.0,1,0
37.0,4,67224.914,9,0,3,2,1,1,0.0,0.0,40.0,1,0
34.0,4,119844.336,11,2,3,1,0,0,0.0,0.0,40.0,0,0
36.0,4,146418.55,9,0,3,0,0,1,0.0,0.0,40.0,1,0
42.0,4,560898.0,9,-1,2,0,1,1,0.0,0.0,40.0,1,0
47.0,4,253993.86,7,2,2,-1,-1,0,0.0,0.0,40.0,0,0
32.0,5,54957.984,13,0,5,3,0,0,0.0,0.0,40.0,1,0
37.0,2,51605.137,9,0,4,3,1,1,0.0,0.0,40.0,1,0
22.0,4,216750.83,10,2,2,1,0,0,0.0,0.0,40.0,1,0
30.0,4,184527.06,10,1,2,-1,-1,0,0.0,0.0,40.0,0,0
29.0,5,142082.3,9,0,2,3,0,0,0.0,0.0,40.0,1,0
36.0,4,193929.02,9,-1,2,0,1,0,0.0,0.0,40.0,1,0
42.0,2,1116320.1,9,2,4,1,1,0,0.0,0.0,40.0,1,0
19.0,4,407387.03,4,0,3,3,0,1,0.0,0.0,25.0,1,0
30.0,4,290934.3,9,0,1,0,0,0,0.0,0.0,40.0,0,0
44.869267,4,420130.12,10,-1,2,2,0,1,0.0,0.0,25.0,1,0
21.0,4,366552.7,6,2,3,1,0,1,0.0,0.0,40.0,0,0
23.0,4,112206.734,10,0,2,3,0,0,0.0,0.0,40.0,1,0
30.0,4,660624.75,10,0,2,2,1,1,0.0,0.0,40.0,1,0
37.0,4,300779.62,9,2,3,1,0,0,0.0,0.0,40.0,1,0
63.0,4,83964.82,10,-1,3,0,0,1,0.0,0.0,40.0,1,0
20.0,4,304380.47,10,0,2,-1,0,0,0.0,0.0,24.0,1,0
59.0,4,150177.02,7,-1,1,0,0,1,0.0,0.0,32.0,1,0
45.0,6,184950.25,10,2,2,1,0,0,0.0,0.0,40.0,1,0
53.0,5,87432.38,13,-1,7,0,0,1,0.0,0.0,36.0,1,0
38.0,4,107659.56,10,2,3,1,0,0,0.0,0.0,40.0,1,0
42.0,2,45586.723,9,0,2,2,1,1,0.0,0.0,40.0,1,0
22.0,2,157280.45,10,0,7,3,0,0,0.0,0.0,24.0,1,0
22.0,4,185732.98,9,0,2,3,0,0,0.0,0.0,40.0,1,0
25.0,4,174273.66,11,2,2,1,0,0,0.0,0.0,40.0,1,0
86.77346,5,201797.12,2,-1,6,0,0,0,0.0,0.0,20.0,0,0
33.0,4,334774.1,13,-1,5,0,0,1,0.0,0.0,40.0,1,0
70.21908,4,164952.77,11,-1,2,2,1,1,0.0,0.0,13.504116,1,0
21.29414,4,273298.97,9,2,2,1,0,0,0.0,0.0,20.0,1,0
36.0,1,390484.9,16,2,7,1,0,0,0.0,0.0,40.0,1,0
37.0,1,355478.44,12,2,7,1,0,0,0.0,0.0,50.0,1,0
36.0,4,382441.47,10,0,2,3,-1,0,0.0,0.0,20.0,1,0
37.0,4,389517.47,5,-1,2,2,1,0,0.0,0.0,40.0,1,0
30.0,4,213280.88,9,2,2,1,0,0,0.0,0.0,40.0,1,0
62.0,4,255108.42,12,-1,6,0,0,1,0.0,0.0,16.0,1,0
44.0,4,220539.84,9,-1,3,3,0,1,0.0,0.0,50.0,1,0
58.0,2,187208.67,9,-1,2,0,0,1,0.0,0.0,11.106877,1,0
43.0,4,198835.12,5,-1,3,2,0,1,0.0,0.0,40.0,1,0
31.356256,4,48519.01,9,-1,2,3,0,1,0.0,0.0,24.0,1,0
66.0,4,193316.5,13,2,2,1,0,0,4925.973,0.0,40.0,1,0
31.0,4,284041.34,4,2,5,1,0,0,0.0,0.0,40.0,1,0
59.0,4,111497.375,9,2,3,1,0,0,0.0,0.0,40.0,1,0
33.0,4,95841.76,10,2,3,1,0,0,0.0,0.0,25.0,1,0
17.0,4,50592.223,8,0,3,3,0,1,0.0,0.0,15.0,1,0
51.0,4,34950.79,9,2,6,1,0,0,0.0,0.0,60.0,1,0
23.0,4,35657.695,10,0,2,0,0,0,0.0,0.0,40.0,1,0
33.0,4,249968.23,9,2,3,1,0,0,0.0,0.0,45.0,1,0
40.0,1,47386.855,7,-1,4,0,0,0,0.0,0.0,48.0,1,0
26.0,4,31307.46,9,0,6,0,-1,1,0.0,0.0,48.0,1,0
32.0,1,92091.2,14,0,7,0,0,1,0.0,0.0,40.0,1,0
24.0,1,191441.02,12,0,7,3,0,1,0.0,0.0,25.0,1,0
63.0,4,129661.46,12,-1,3,0,0,1,0.0,0.0,20.614506,1,0
24.0,4,326790.88,10,0,3,0,0,0,0.0,0.0,40.0,1,0
23.0,1,334173.84,9,2,2,1,0,0,0.0,0.0,40.0,1,0
24.0,4,426010.22,10,0,3,0,0,1,0.0,0.0,30.0,1,0
42.0,4,402869.34,10,0,3,3,0,1,0.0,0.0,24.0,1,0
43.0,4,189187.47,9,-1,2,2,0,1,0.0,0.0,40.0,1,0
47.0,4,96715.89,7,2,3,1,0,1,0.0,0.0,20.0,1,0
45.59259,4,181167.86,10,2,2,1,0,0,0.0,0.0,40.0,1,0
24.0,4,44331.914,9,2,2,1,0,0,0.0,0.0,40.0,1,0
50.0,5,163804.56,9,0,2,0,0,1,0.0,0.0,40.0,1,0
41.0,4,47848.44,8,-1,2,2,0,1,0.0,0.0,40.0,1,0
18.0,4,84668.7,9,0,3,3,1,1,0.0,1669.0103,18.405468,1,0
32.0,4,255462.06,7,2,3,1,1,0,0.0,0.0,40.0,1,0
28.0,6,245463.72,10,2,4,1,0,0,0.0,0.0,40.0,1,0
