age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
22.0,4,249585.47,10,-1,2,3,0,1,0.0,0.0,20.0,1,0
31.0,4,152316.0,10,2,2,1,0,0,0.0,0.0,60.0,1,0
26.0,4,188169.4,5,0,2,0,1,0,0.0,0.0,40.0,1,0
34.0,4,159894.64,13,-1,2,0,0,0,0.0,0.0,40.0,1,0
24.0,4,216486.81,10,0,3,0,0,0,0.0,0.0,40.0,1,0
18.0,4,220551.36,9,0,2,3,0,0,0.0,0.0,30.0,1,0
27.0,4,288595.06,13,0,7,0,0,0,0.0,0.0,40.0,1,0
36.0,4,349568.7,12,2,2,1,0,0,0.0,0.0,35.0,0,0
64.0,4,94349.164,2,2,1,1,0,0,0.0,0.0,40.0,1,0
51.0,4,32597.84,11,-1,6,2,0,1,0.0,0.0,40.0,1,0
29.0,4,88544.52,9,2,2,1,0,0,0.0,0.0,35.0,1,0
23.0,4,266405.38,9,0,2,0,0,1,0.0,0.0,40.0,1,0
56.183125,4,73428.43,10,-1,2,0,0,1,0.0,0.0,25.0,1,0
52.0,1,110071.23,13,2,7,1,-1,0,0.0,0.0,40.0,0,0
52.0,6,122957.125,4,2,2,1,0,0,0.0,0.0,40.0,1,0
22.0,4,39902.39,9,0,2,0,0,0,0.0,0.0,45.0,1,0
24.0,4,298296.84,13,0,5,-1,0,1,0.0,0.0,60.0,1,0
59.0,5,319361.44,9,-1,7,2,0,1,0.0,0.0,35.0,1,0
26.0,4,231279.89,9,0,3,3,1,1,0.0,0.0,40.0,1,0
72.91981,4,31825.385,9,-1,3,2,0,1,0.0,0.0,15.0,1,0
33.0,4,183686.02,10,0,3,0,0,1,0.0,0.0,35.0,0,0
41.0,3,49540.145,12,-1,6,3,1,1,0.0,0.0,40.0,1,0
34.0,4,428744.5,10,-1,3,0,0,0,0.0,0.0,50.0,1,0
25.0,4,73346.875,11,2,2,1,0,0,0.0,0.0,40.0,1,0
23.0,4,69418.586,13,0,2,3,0,1,0.0,0.0,35.0,1,0
40.0,3,197410.45,11,-1,2,0,0,0,0.0,0.0,40.0,1,0
