age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
22.0,4,140817.94,5,0,2,2,0,0,0.0,0.0,40.0,1,0
67.0,4,121508.53,4,2,1,1,0,0,0.0,0.0,27.884743,1,0
18.0,5,117321.24,9,0,2,0,0,0,0.0,0.0,40.0,1,0
20.0,2,699012.7,8,0,4,3,0,0,0.0,0.0,80.0,1,0
19.0,4,202784.92,9,0,3,3,0,0,0.0,0.0,40.0,1,0
36.0,4,199022.61,3,1,2,2,0,0,0.0,0.0,40.0,0,0
33.0,4,192225.28,9,-1,2,-1,0,1,0.0,0.0,40.0,1,0
23.0,4,430050.2,9,2,2,1,0,0,0.0,0.0,40.0,1,0
23.0,4,88024.734,13,0,7,0,0,0,0.0,0.0,10.0,1,0
74.456764,4,151872.52,9,2,3,1,0,0,0.0,0.0,26.884096,1,0
51.0,4,154680.61,9,-1,2,2,1,1,0.0,0.0,40.0,0,0
36.0,4,199435.78,9,-1,3,0,0,1,0.0,0.0,32.91186,1,0
35.0,4,127764.92,7,-1,2,3,0,0,0.0,0.0,40.0,1,0
56.0,4,154744.14,9,0,3,3,1,0,0.0,0.0,20.0,1,0
29.0,4,187670.5,9,2,6,1,0,0,0.0,0.0,48.647125,1,0
38.0,1,204578.48,11,-1,2,2,1,1,0.0,0.0,40.0,1,0
53.0,5,176021.75,10,-1,2,0,0,0,0.0,0.0,40.0,1,0
22.0,4,146402.53,10,0,3,3,0,0,0.0,0.0,16.0,1,0
38.0,4,154666.0,8,2,2,1,0,0,0.0,0.0,40.0,1,0
17.0,4,456936.12,7,0,2,3,1,0,0.0,0.0,20.0,1,0
61.0,6,196505.7,9,2,6,1,1,1,0.0,1672.0,12.0,1,0
34.0,4,142258.97,7,-1,2,0,0,0,0.0,0.0,40.0,1,0
41.067284,4,229491.3,3,2,3,1,0,0,0.0,0.0,40.0,0,0
22.0,4,342351.06,10,0,2,3,0,1,0.0,0.0,35.0,1,0
23.0,4,108375.0,12,0,1,3,0,0,0.0,0.0,40.0,1,0
26.0,4,356699.62,9,0,2,0,0,1,0.0,1790.7832,40.0,1,0
33.0,1,133750.06,9,-1,2,0,0,0,0.0,0.0,40.0,1,0
18.0,4,283488.47,7,0,2,3,0,0,0.0,0.0,20.0,1,0
38.0,4,191544.88,9,2,2,1,0,0,0.0,0.0,35.0,1,0
41.0,4,384920.28,9,0,6,0,0,0,0.0,0.0,45.0,1,0
39.0,1,294829.88,13,0,2,0,0,0,0.0,0.0,40.0,1,0
68.98145,4,105199.84,9,-1,3,0,0,1,0.0,0.0,40.0,1,0
31.0,4,199990.19,9,0,3,2,1,1,0.0,0.0,40.0,1,0
30.0,4,62143.086,10,-1,3,3,1,1,0.0,0.0,32.0,1,0
27.0,6,58936.87,9,2,6,1,0,0,0.0,0.0,50.0,1,0
22.0,4,348652.44,8,0,1,-1,0,0,0.0,0.0,40.0,0,0
33.0,4,163562.92,9,0,1,0,0,0,0.0,0.0,48.0,1,0
