age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
17.0,4,79041.69515134217,6.0,0,3,3,0,1,0.0,0.0,12.0,1,0
24.0,4,74989.9966679144,11.0,0,5,0,0,0,0.0,0.0,40.0,1,0
38.0,4,363004.2038123447,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
23.0,4,176081.1923167164,10.0,0,3,0,0,0,0.0,0.0,40.0,1,0
41.0,4,187040.75505693047,13.0,0,6,0,0,1,0.0,0.0,50.0,1,0
18.0,4,289964.7311726231,7.0,0,2,3,0,0,0.0,0.0,18.61490126464864,1,0
19.0,4,181909.9990354428,9.0,0,2,0,0,1,0.0,0.0,40.0,1,0
25.0,4,273911.6224567738,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
28.0,3,166806.0962217844,12.0,0,7,0,0,0,0.0,0.0,40.0,1,0
23.0,4,164159.55407862377,9.0,0,2,3,0,0,0.0,0.0,24.0,1,0
33.0,5,421702.61956588016,4.0,2,2,1,0,0,0.0,0.0,60.0,1,0
24.0,4,158387.80963925566,9.0,0,3,3,0,0,0.0,0.0,40.0,1,0
48.0,4,452359.79504107754,4.0,2,2,1,0,0,0.0,0.0,40.0,0,0
60.201433946412074,4,129947.12332623929,13.0,-1,6,0,0,1,2296.404964983446,0.0,40.0,0,0
26.0,1,248394.25869334344,13.0,-1,7,2,0,1,0.0,2004.4926793930654,70.0,1,0
26.0,5,221441.05156452718,13.0,2,6,1,0,0,0.0,0.0,30.0,0,0
46.0,5,118547.57834408122,9.0,2,6,1,0,0,0.0,0.0,50.0,1,0
44.0,4,336073.4583834876,5.0,-1,3,0,0,1,0.0,0.0,40.0,1,0
35.0,4,392317.13621812966,10.0,-1,3,2,1,1,0.0,0.0,40.0,1,0
29.0,3,57587.99242249389,9.0,0,3,0,0,0,0.0,0.0,40.0,1,0
45.0,4,144677.325120055,13.0,-1,7,0,0,0,0.0,0.0,55.0,1,0
45.0,1,111087.9489187134,10.0,2,3,1,0,1,0.0,0.0,40.0,1,0
40.0,4,196023.3671219922,4.0,-1,2,3,0,1,0.0,0.0,20.0,1,0
25.0,3,217205.28219177216,9.0,0,3,-1,0,1,0.0,0.0,25.0,1,0
25.0,4,330141.16128727363,8.0,-1,3,0,0,0,3230.549010542513,0.0,55.0,1,0
50.0,2,74584.12030351015,11.0,-1,3,2,0,1,0.0,0.0,32.0,1,0
62.0,4,70584.47558485295,10.0,2,2,1,0,0,0.0,0.0,20.0,1,0
45.0,4,315746.57952316216,10.0,0,5,0,1,1,0.0,1977.1829910332012,40.0,1,0
25.0,4,285373.1651004765,10.0,0,3,0,0,0,0.0,0.0,50.0,1,0
24.0,4,263665.20359286293,9.0,0,2,3,1,0,0.0,0.0,40.0,1,0
58.0,4,96010.36978131758,6.0,2,3,1,1,0,0.0,0.0,35.0,1,0
26.0,1,79607.04226529066,10.0,0,7,0,0,1,0.0,0.0,40.0,1,0
35.0,4,254544.66531934848,16.0,0,7,0,0,1,0.0,0.0,50.0,1,0
52.0,4,193102.2832105348,9.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
65.0,6,91756.08460066069,4.0,2,6,1,0,0,0.0,0.0,16.0,1,0
33.0,4,168373.0362567569,9.0,-1,3,2,0,1,0.0,0.0,55.0,1,0
47.0,4,340431.09057754825,11.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
28.0,4,380462.0044291454,9.0,0,3,0,0,0,0.0,0.0,50.0,1,0
26.0,4,194112.88552090368,10.0,0,6,0,0,1,0.0,0.0,45.0,1,0
27.0,2,176768.1483834138,10.0,-1,3,3,0,0,0.0,0.0,40.0,1,0
57.0,4,222289.964313534,9.0,2,2,1,1,0,0.0,0.0,40.0,1,0
23.0,2,266904.1776242061,13.0,0,3,0,0,1,0.0,0.0,15.0,1,0
22.874621909918087,4,332592.1741807647,8.0,2,2,-1,0,0,2267.3873212416825,0.0,40.0,1,0
56.0,4,147980.24045320193,4.0,2,2,1,0,0,0.0,0.0,40.0,0,0
33.0,4,166752.7511536912,10.0,-1,3,0,0,1,0.0,0.0,65.12410144305314,1,0
21.0,4,107541.34775521792,10.0,0,3,0,0,1,0.0,0.0,20.0,1,0
42.0,4,169782.08386917773,9.0,-1,2,2,0,1,0.0,0.0,40.0,1,0
57.0,5,156223.93083637216,13.0,2,5,1,0,0,0.0,0.0,60.0,0,0
43.0,4,114245.68941889242,9.0,2,3,1,0,0,0.0,0.0,50.0,1,0
24.0,4,127860.13832120948,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
36.0,4,189643.1045110457,13.0,0,6,0,0,0,0.0,0.0,50.0,1,0
30.22076326211371,4,33137.212288801114,6.0,2,1,1,0,0,0.0,0.0,40.0,1,0
37.0,4,328321.3006854297,9.0,-1,3,0,1,1,0.0,0.0,50.0,1,0
46.0,5,54707.855668208125,10.0,2,2,1,-1,0,0.0,0.0,20.0,0,0
41.0,2,99216.33570189073,9.0,2,2,1,0,0,0.0,0.0,60.0,1,0
30.0,4,339607.4907907809,13.0,2,3,1,0,0,0.0,0.0,35.0,1,0
39.0,3,139063.07721796355,13.0,0,3,0,0,0,0.0,0.0,40.0,1,0
25.0,4,172697.19270515023,9.0,0,3,-1,1,0,0.0,0.0,15.0,1,0
42.0,4,157388.23320256302,12.0,-1,6,0,0,1,0.0,0.0,40.0,1,0
31.0,4,207217.68936463536,13.0,0,3,0,0,1,0.0,0.0,20.0,1,0
32.0,4,57552.2908247497,13.0,0,3,0,0,0,3335.4720915614143,0.0,41.68993870483253,1,0
43.0,4,266205.2511035726,10.0,2,3,1,0,0,0.0,0.0,55.0,0,0
41.0,4,510001.7901451687,4.0,2,1,1,0,0,0.0,0.0,40.0,0,0
21.0,4,157976.55464517558,9.0,0,2,3,0,1,0.0,0.0,20.0,1,0
19.0,4,186417.49482630636,9.0,0,3,0,0,1,0.0,0.0,30.0,1,0
22.0,4,219475.615686681,10.0,0,3,3,0,1,0.0,0.0,40.0,1,0
26.0,2,50944.41705607078,10.0,0,2,0,0,0,0.0,0.0,40.0,1,0
47.0,5,39777.8991364779,10.0,2,1,1,0,0,0.0,0.0,84.2945998127091,1,0
19.0,4,54821.19333541446,9.0,0,5,3,0,1,0.0,0.0,40.0,1,0
44.0,4,178531.52458476298,11.0,-1,4,0,0,1,0.0,0.0,40.0,1,0
25.0,4,153340.39779348823,10.0,0,2,3,0,0,2556.5920667155265,0.0,35.0,1,0
40.0,4,167038.258849565,13.0,0,3,0,0,0,0.0,0.0,45.0,1,0
32.0,2,355822.86702548165,11.0,-1,3,2,1,1,0.0,0.0,30.0,1,0
43.0,4,302759.80563063856,6.0,-1,2,2,0,1,0.0,0.0,40.0,1,0
38.0,4,393533.1454307646,9.0,-1,3,0,0,1,0.0,0.0,60.0,1,0
32.0,4,124346.71990610515,14.0,0,7,0,0,0,0.0,0.0,20.0,1,0
23.0,4,141035.36633875337,13.0,0,2,3,0,1,0.0,0.0,12.0,1,0
37.0,4,160060.18855774857,10.0,0,2,0,0,0,0.0,0.0,40.0,1,0
27.0,4,185401.05052851955,10.0,-1,6,2,0,1,0.0,0.0,35.0,1,0
20.0,4,378086.24903678993,7.0,0,6,0,0,0,0.0,0.0,19.217908969284675,1,0
31.0,4,234957.43444722806,10.0,2,2,1,-1,0,0.0,1977.6717163582307,60.0,0,0
49.0,4,168523.4750538191,9.0,-1,6,0,0,0,0.0,0.0,40.0,1,0
29.0,6,87479.1562546338,9.0,0,2,3,0,0,0.0,0.0,55.0,1,0
53.68236772506669,4,183830.9663622672,9.0,2,3,1,0,0,0.0,0.0,60.0,1,0
42.0,4,187963.44268878916,9.0,2,2,1,0,0,0.0,0.0,70.0,1,0
62.0,4,145163.6788398045,9.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
33.0,4,279545.70591070724,11.0,-1,5,3,0,1,0.0,0.0,40.0,1,0
48.0,5,110715.10496890938,10.0,2,2,1,0,0,0.0,0.0,60.0,1,0
19.0,4,170503.17518167885,10.0,0,2,3,0,0,0.0,0.0,20.0,1,0
21.0,4,155857.54077128306,10.0,0,7,3,-1,1,0.0,0.0,20.0,1,0
22.0,4,95945.61236491405,10.0,0,3,3,0,1,0.0,0.0,20.0,1,0
30.0,4,337625.567819669,10.0,0,2,2,1,0,0.0,0.0,40.0,1,0
47.0,5,204209.63792843473,6.0,2,6,1,0,0,0.0,0.0,48.0,1,0
63.0,4,114744.3918790915,9.0,-1,6,0,1,1,0.0,0.0,40.0,1,0
23.0,4,191357.3075636117,9.0,0,3,0,0,0,0.0,0.0,40.0,1,0
29.0,2,42767.49006417048,9.0,0,2,3,0,0,0.0,0.0,20.0,1,0
89.78877574517618,4,65845.57434851253,12.0,-1,2,0,0,0,0.0,0.0,40.0,1,0
31.0,5,117422.31982424982,13.0,0,7,0,0,0,0.0,0.0,42.0,1,0
33.0,4,188853.94336404794,9.0,0,3,0,0,0,0.0,0.0,17.779418255666453,1,0
43.0,5,175184.1308713197,9.0,2,1,1,0,0,0.0,0.0,20.901247527324042,1,0
58.0,4,196460.80427312054,5.0,2,2,1,1,0,0.0,0.0,40.0,1,0
30.0,4,168249.75195844145,13.0,2,6,1,0,0,0.0,0.0,40.0,1,0
32.0,4,228734.11232273886,13.0,2,1,1,0,0,0.0,0.0,55.0,1,0
22.0,4,201893.2391716692,9.0,1,3,2,1,1,0.0,0.0,40.0,1,0
55.0,6,161397.76836432828,14.0,2,6,1,0,0,0.0,0.0,40.0,1,0
38.0,4,356203.9362124407,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
25.0,4,260745.75693983343,10.0,0,2,2,0,0,0.0,0.0,15.0,1,0
51.0,4,193913.32868360088,9.0,0,3,0,0,1,0.0,0.0,30.0,0,0
52.0,4,160291.75356707498,13.0,0,3,0,0,1,0.0,0.0,40.0,1,0
77.67970538985664,4,31932.93939160417,6.0,2,2,1,0,0,0.0,0.0,15.0,1,0
