age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
45.0,1,33717.57,14,2,7,1,0,0,0.0,0.0,50.0,1,2
28.0,4,33080.12,13,2,2,1,0,0,0.0,0.0,40.0,1,2
47.0,4,27668.648,10,2,6,1,0,0,0.0,0.0,48.0,1,2
38.0,4,275303.06,9,2,1,1,0,0,0.0,0.0,55.0,1,2
63.0,4,111611.15,4,2,1,1,0,0,47807.88,0.0,40.0,1,2
57.0,4,313918.34,10,2,5,1,0,0,0.0,0.0,40.0,1,2
51.0,5,113068.87,8,2,2,1,0,0,0.0,1987.0406,40.0,1,2
44.0,4,142062.36,14,2,3,1,0,0,0.0,0.0,40.0,0,2
54.0,4,202004.8,9,2,3,1,0,0,5454.854,0.0,35.0,1,2
35.533157,4,280868.66,9,2,2,1,0,0,0.0,0.0,65.0,0,2
42.0,2,134732.84,13,2,7,1,0,0,0.0,0.0,40.0,1,2
31.0,2,60173.7,12,2,7,1,0,1,0.0,1876.0,38.0,1,2
63.0,4,136900.1,12,2,1,1,0,0,0.0,0.0,45.0,1,2
53.0,4,127737.21,10,2,6,1,0,0,0.0,0.0,55.0,1,2
46.0,1,48335.73,13,2,3,1,0,1,0.0,0.0,40.0,1,2
56.0,4,181657.86,7,2,2,1,0,0,0.0,0.0,40.0,1,2
45.0,4,265420.03,13,2,3,1,1,0,0.0,0.0,40.0,1,2
37.0,4,227713.39,13,2,5,1,0,1,0.0,0.0,40.0,1,2
37.0,4,125847.9,13,2,7,1,0,0,0.0,2001.9304,40.0,1,2
32.0,4,133746.66,9,2,2,1,0,0,0.0,0.0,40.0,1,2
40.0,4,102366.27,9,2,2,1,0,0,0.0,0.0,40.0,1,2
45.0,4,241846.78,13,2,6,1,0,0,0.0,0.0,55.0,1,2
51.0,4,55413.895,14,2,6,1,0,0,99019.766,0.0,40.0,1,2
30.0,4,135828.47,9,0,3,2,0,1,0.0,0.0,45.0,1,2
38.0,2,189541.66,14,2,3,1,0,0,0.0,0.0,38.0,1,2
31.0,4,179164.78,13,2,7,1,0,0,0.0,0.0,40.0,1,2
53.306915,4,77218.555,10,2,6,1,0,0,11137.546,0.0,40.0,1,2
38.0,2,187717.34,14,2,7,1,0,0,5177.421,0.0,40.0,1,2
50.0,4,226227.75,11,2,7,1,0,0,0.0,0.0,60.0,1,2
32.0,4,29942.672,9,2,2,1,0,0,0.0,0.0,48.0,1,2
39.0,4,140816.6,13,2,7,1,0,0,0.0,0.0,48.0,1,2
47.0,5,198080.7,10,2,2,1,0,0,0.0,0.0,40.0,1,2
43.0,4,178057.55,10,2,7,1,0,0,0.0,0.0,50.0,1,2
55.0,4,231879.77,13,-1,6,2,0,1,0.0,0.0,45.0,1,2
38.0,4,181004.64,9,2,3,1,0,0,0.0,1714.8364,40.0,1,2
55.7939,4,194460.16,13,2,5,1,0,0,0.0,0.0,40.0,1,2
42.0,3,100376.01,14,2,6,1,0,0,0.0,0.0,42.0,0,2
37.0,4,160166.67,11,2,3,1,0,0,0.0,0.0,60.0,1,2
32.0,4,231907.58,13,2,6,1,0,0,0.0,0.0,40.0,1,2
59.0,2,125217.99,9,2,6,1,0,0,0.0,0.0,60.0,1,2
46.0,4,111024.98,10,2,3,1,0,0,0.0,0.0,50.0,1,2
36.0,1,182407.89,9,2,2,1,0,0,7553.898,0.0,40.0,1,2
54.21192,6,90898.88,14,-1,3,0,0,0,0.0,0.0,72.0,1,2
40.0,1,249676.2,14,2,7,1,0,0,0.0,0.0,48.18761,1,2
52.0,4,134439.61,10,-1,3,2,0,1,0.0,0.0,40.0,1,2
46.0,4,251321.1,10,2,2,1,1,0,0.0,0.0,40.0,1,2
42.0,3,34500.4,9,2,2,1,0,0,0.0,1978.075,40.0,1,2
50.0,5,24720.984,10,-1,3,0,0,0,0.0,0.0,50.0,1,2
56.0,4,155028.23,10,2,6,1,0,0,0.0,0.0,50.0,1,2
32.0,4,204188.31,9,2,5,1,0,0,0.0,0.0,40.0,1,2
54.0,4,348861.8,9,2,2,1,0,0,0.0,0.0,40.0,1,2
50.0,4,330058.2,10,2,3,1,1,0,0.0,0.0,40.0,1,2
35.0,4,158627.84,10,2,3,1,0,0,0.0,0.0,40.0,1,2
67.0,4,228246.19,12,2,2,1,0,0,0.0,0.0,28.0,1,2
38.0,4,207526.03,9,2,6,1,0,0,4596.6387,0.0,40.0,1,2
41.0,4,151361.14,10,2,7,1,-1,0,0.0,0.0,45.0,1,2
33.0,4,292416.16,9,2,2,1,0,1,0.0,0.0,36.0,1,2
33.0,4,345094.3,13,2,3,1,0,1,0.0,0.0,40.0,1,2
51.25626,4,144124.31,11,2,7,1,0,1,0.0,0.0,30.0,1,2
54.0,4,331075.75,10,2,2,1,0,0,0.0,0.0,40.0,1,2
29.0,1,207466.56,14,2,3,1,0,0,0.0,0.0,35.0,1,2
60.882183,5,164377.44,15,2,7,1,0,0,23397.246,0.0,25.0,1,2
41.067455,4,221342.1,13,0,7,0,0,1,96584.586,0.0,40.0,1,2
47.0,4,258483.9,9,2,2,1,0,0,0.0,0.0,40.0,1,2
28.0,4,154674.98,13,2,3,1,0,0,0.0,0.0,40.0,1,2
