age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
37.0,4,145237.23,10,2,3,1,0,0,0.0,0.0,40.0,1,2
39.0,4,350186.84,10,0,6,3,0,1,0.0,0.0,40.0,1,2
25.0,4,187479.69,9,2,3,-1,0,0,0.0,0.0,60.0,1,2
58.0,4,110540.91,13,0,2,0,0,0,0.0,0.0,40.0,1,2
32.0,4,137932.77,12,0,2,3,0,0,0.0,0.0,40.0,1,2
53.0,4,193666.75,7,2,2,1,0,0,0.0,0.0,40.0,1,2
32.0,4,202699.19,9,0,7,2,0,0,0.0,0.0,40.0,1,2
30.0,4,419259.1,10,2,2,1,0,0,0.0,0.0,30.0,0,2
66.86017,4,244471.36,10,2,6,1,0,0,0.0,0.0,20.0,1,2
34.0,4,245211.84,7,0,3,0,0,0,0.0,0.0,40.0,1,2
50.0,4,192956.06,10,2,4,1,0,0,0.0,0.0,40.0,1,2
52.0,4,176696.3,9,2,2,1,0,0,0.0,0.0,40.0,1,2
31.0,4,168380.4,9,2,2,1,1,0,0.0,0.0,40.0,1,2
35.0,4,43834.79,10,2,2,1,0,0,0.0,0.0,65.0,1,2
27.0,4,235343.8,9,0,2,0,0,1,0.0,0.0,40.0,1,2
36.0,5,45744.273,11,2,1,1,-1,0,4792.4053,0.0,45.6527,1,2
41.0,4,144643.03,10,2,3,1,0,0,0.0,2010.973,45.0,1,2
43.0,3,55058.57,13,2,3,1,0,0,0.0,0.0,40.0,1,2
30.0,4,164798.19,16,0,3,3,0,0,0.0,0.0,40.0,1,2
59.0,2,177029.66,14,2,7,1,0,0,0.0,0.0,40.0,1,2
49.0,4,207456.72,10,2,2,1,0,0,0.0,0.0,40.0,1,2
47.0,4,84648.35,14,-1,6,0,0,0,0.0,0.0,25.0,1,2
31.0,4,164220.89,13,0,2,0,0,0,0.0,0.0,40.0,1,2
41.0,4,396144.47,13,2,3,1,0,0,0.0,0.0,50.0,1,2
45.0,4,145919.8,7,2,3,1,0,0,0.0,0.0,40.0,0,2
58.412174,6,156022.67,10,2,3,1,0,0,0.0,0.0,40.0,1,2
46.0,4,348154.12,9,-1,2,0,0,0,0.0,0.0,40.0,1,2
59.0,4,104977.0,10,2,6,1,0,0,0.0,0.0,40.0,1,2
24.0,4,199228.6,10,2,6,1,0,1,0.0,0.0,40.0,1,2
31.0,4,123324.305,14,2,7,1,0,1,0.0,0.0,40.0,1,2
33.0,4,175366.16,9,2,7,1,0,1,0.0,0.0,14.961112,1,2
44.0,4,282919.03,15,2,7,1,0,0,0.0,0.0,55.0,1,2
41.0,4,188543.28,12,2,7,1,0,0,0.0,0.0,40.0,1,2
32.0,4,82600.555,7,2,2,1,-1,0,0.0,0.0,40.0,0,2
31.0,4,148243.69,11,2,7,1,0,1,0.0,0.0,40.0,1,2
48.0,4,70175.16,9,2,3,1,0,0,4569.9487,0.0,40.0,1,2
33.0,4,167870.14,9,-1,2,0,0,0,0.0,0.0,40.0,1,2
62.0,4,83900.8,9,2,2,1,0,0,0.0,0.0,40.0,0,2
38.0,4,196160.6,9,-1,2,2,0,0,0.0,0.0,40.0,1,2
24.0,4,130841.54,10,2,3,1,0,0,0.0,0.0,40.0,1,2
45.0,4,89398.03,10,2,2,1,0,0,6975.152,0.0,40.0,1,2
26.0,4,74454.45,13,2,3,1,0,1,0.0,0.0,35.0,1,2
60.0,6,155425.69,15,2,3,1,-1,0,0.0,0.0,60.0,0,2
40.0,4,24518.041,13,2,5,1,0,0,0.0,0.0,40.0,1,2
39.0,2,220070.6,13,-1,7,2,1,1,0.0,0.0,25.0,1,2
44.0,4,321867.97,13,2,6,1,0,1,0.0,0.0,40.0,0,2
50.0,4,116732.37,10,2,2,1,0,0,0.0,0.0,48.0,1,2
42.0,5,99563.72,14,0,3,3,0,1,0.0,0.0,38.0,1,2
39.33779,6,109077.94,14,2,6,1,-1,0,5013.0,0.0,40.0,0,2
44.0,1,193149.52,14,0,7,2,0,1,12695.548,0.0,40.0,1,2
56.0,4,157300.66,13,2,6,1,0,0,5813.0186,0.0,45.0,1,2
38.0,3,83349.54,10,0,3,0,0,1,0.0,0.0,40.0,1,2
28.0,4,28200.852,10,2,6,1,0,0,0.0,0.0,40.0,1,2
40.0,4,463740.84,13,0,2,0,1,0,0.0,0.0,40.0,1,2
48.0,4,165423.75,10,2,6,1,0,0,0.0,0.0,45.0,1,2
67.0,5,106692.375,13,2,3,1,1,0,0.0,0.0,37.0,1,2
46.0,1,289461.06,9,2,4,3,0,0,0.0,0.0,40.0,1,2
26.0,4,228056.78,13,0,6,0,0,1,0.0,0.0,16.0,1,2
54.0,2,348596.03,10,2,7,1,0,0,0.0,0.0,40.0,1,2
50.0,1,116612.05,13,0,7,3,0,0,0.0,0.0,40.0,1,2
50.0,4,103645.97,11,-1,3,2,0,1,0.0,0.0,40.0,1,2
41.0,1,70097.92,9,2,4,1,0,0,5108.7383,0.0,40.0,1,2
38.0,4,175261.6,2,2,2,1,0,0,0.0,0.0,60.0,0,2
47.0,4,356607.8,8,0,3,3,0,0,0.0,0.0,40.0,1,2
45.0,4,238355.75,14,2,2,1,0,0,0.0,0.0,50.0,0,2
27.0,5,191644.27,13,2,5,1,0,1,0.0,2001.6216,50.0,1,2
49.0,4,130045.76,13,-1,3,2,0,1,0.0,0.0,40.0,1,2
40.0,4,215547.6,11,-1,6,2,0,1,0.0,0.0,40.0,1,2
39.0,4,126265.91,13,1,6,0,0,0,0.0,0.0,60.0,1,2
28.0,4,279148.0,9,0,2,3,-1,0,0.0,0.0,40.0,0,2
51.0,4,393343.22,7,-1,6,2,0,1,0.0,0.0,30.0,1,2
51.0,4,549982.7,15,2,7,1,0,0,12756.689,0.0,18.46964,1,2
47.0,4,96390.875,12,0,6,2,0,1,0.0,0.0,30.0,1,2
36.0,3,133347.08,14,2,7,1,0,0,0.0,0.0,40.0,1,2
50.0,5,126223.45,14,2,7,1,0,0,0.0,0.0,60.793118,1,2
31.0,5,185794.95,13,2,6,1,0,0,0.0,0.0,60.0,1,2
35.0,5,287827.8,14,2,7,1,0,0,13284.817,0.0,40.0,1,2
46.0,4,186158.9,9,2,3,1,0,0,0.0,0.0,40.0,1,2
53.0,4,65870.14,13,-1,6,0,0,0,0.0,0.0,52.0,1,2
60.0,4,111618.695,9,-1,3,2,0,1,0.0,0.0,15.0,1,2
81.63661,4,260522.25,9,-1,6,0,0,0,0.0,0.0,18.948696,1,2
47.0,1,278053.84,9,-1,3,0,0,1,0.0,0.0,60.0,1,2
24.0,4,82921.77,13,0,5,2,0,0,0.0,0.0,35.0,1,2
50.0,4,282752.2,13,2,6,1,0,0,0.0,0.0,40.0,1,2
56.0,3,181051.44,9,-1,6,2,1,1,0.0,0.0,40.0,1,2
28.0,4,221093.92,13,2,6,1,0,0,0.0,0.0,55.0,1,2
41.0,5,214242.17,9,2,2,1,0,0,0.0,0.0,60.0,1,2
56.0,4,152438.83,4,2,2,1,0,0,0.0,0.0,40.0,1,2
53.0,4,119799.33,10,2,2,1,0,0,0.0,0.0,35.0,0,2
29.0,4,86982.5,12,2,2,1,0,0,0.0,0.0,75.93603,1,2
63.0,5,38142.094,13,2,1,1,0,0,5019.545,0.0,55.0,1,2
41.0,4,223010.22,13,-1,7,-1,0,1,0.0,0.0,40.0,1,2
39.0,4,188052.39,11,2,2,1,0,0,0.0,0.0,50.14662,1,2
41.0,4,71252.11,7,2,7,1,0,1,0.0,0.0,38.0,0,2
36.0,4,95089.305,10,0,2,0,0,0,0.0,0.0,50.0,1,2
30.0,4,81150.93,13,0,7,0,0,0,0.0,2048.8923,40.0,1,2
49.0,4,402924.66,9,2,3,1,0,0,41756.047,0.0,50.0,1,2
31.0,4,140288.75,10,2,2,1,1,0,0.0,0.0,40.0,1,2
27.0,4,229530.03,13,2,3,1,0,1,0.0,0.0,43.0,1,2
37.0,5,34233.03,10,2,6,1,0,0,0.0,0.0,60.0,1,2
63.0,6,177576.4,11,2,3,1,0,0,0.0,0.0,60.0,1,2
55.0,4,233977.44,9,2,2,1,0,0,5013.0,0.0,50.0,1,2
25.0,4,186852.02,13,0,7,0,1,1,0.0,0.0,50.0,1,2
44.0,4,209958.94,13,2,6,1,0,0,0.0,0.0,40.0,1,2
31.0,4,113027.52,13,0,7,3,0,1,0.0,0.0,35.0,1,2
37.0,1,402762.78,14,2,5,1,0,0,0.0,0.0,91.810265,1,2
40.0,6,105032.4,13,2,6,1,0,1,0.0,0.0,60.0,1,2
35.0,4,216086.42,13,2,3,1,0,0,0.0,0.0,50.0,1,2
32.0,4,219181.94,9,0,3,2,1,0,59480.812,0.0,50.0,1,2
43.0,4,178259.62,13,2,3,1,0,0,0.0,0.0,40.0,1,2
21.0,4,123659.79,15,0,7,2,1,0,0.0,0.0,50.0,1,2
51.33967,3,261861.88,10,2,6,1,0,0,0.0,0.0,48.0,1,2
54.0,4,308190.34,14,2,6,1,0,0,0.0,0.0,40.0,1,2
39.0,4,194437.97,9,0,2,0,0,0,0.0,0.0,40.0,1,2
49.0,4,223012.6,11,2,6,1,-1,0,6888.527,0.0,60.0,1,2
44.0,4,184494.2,9,-1,6,2,0,1,0.0,0.0,40.0,0,2
29.0,5,220652.94,11,0,1,0,0,0,0.0,0.0,65.0,1,2
22.0,4,348355.2,9,0,2,3,1,0,0.0,0.0,40.0,1,2
46.0,5,192018.88,14,-1,6,3,0,0,0.0,0.0,40.0,1,2
46.0,1,211704.14,13,2,7,1,1,1,0.0,0.0,40.0,1,2
38.0,1,38718.117,14,2,7,1,0,0,5036.0156,0.0,45.0,1,2
39.02492,4,289128.66,9,2,6,1,0,0,0.0,0.0,40.0,0,2
45.0,4,190232.48,13,1,5,0,0,0,0.0,1830.9825,50.669086,1,2
50.0,1,279641.7,10,2,2,1,0,0,13969.113,0.0,40.0,1,2
43.0,5,208627.28,14,2,1,1,0,0,0.0,0.0,40.0,1,2
58.0,4,257049.62,9,2,3,1,0,0,0.0,0.0,40.0,1,2
46.0,4,140523.8,9,2,3,1,0,1,0.0,0.0,40.0,1,2
38.0,4,234752.34,13,2,7,1,0,0,0.0,0.0,45.0,1,2
44.0,1,113719.51,13,2,6,1,0,0,0.0,0.0,40.0,1,2
47.0,6,187253.06,9,2,1,1,0,0,0.0,0.0,71.031006,1,2
45.0,4,188511.95,9,-1,6,2,0,1,0.0,0.0,40.0,1,2
33.0,4,63074.062,7,2,3,1,0,0,0.0,0.0,65.0,1,2
43.0,4,256314.77,13,-1,3,0,0,1,0.0,0.0,50.0,1,2
35.0,4,190269.44,9,2,6,1,-1,0,0.0,0.0,50.0,1,2
52.0,2,100482.97,13,2,7,1,0,0,0.0,2268.2263,42.0,1,2
30.0,4,416710.53,13,-1,6,0,0,1,0.0,0.0,40.0,1,2
39.0,4,143083.34,15,2,7,1,0,0,95782.49,0.0,70.0,1,2
56.68332,4,353178.12,9,0,3,0,0,0,0.0,0.0,40.0,0,2
42.0,5,178366.95,9,2,3,1,0,0,0.0,0.0,40.0,1,2
29.0,4,28030.559,13,2,6,1,0,0,0.0,0.0,52.337917,1,2
40.0,4,231687.47,13,0,3,0,0,1,0.0,0.0,20.0,1,2
46.0,1,345498.2,13,2,2,1,0,0,0.0,0.0,40.0,0,2
