age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
27.0,4,346855.25,9,2,2,1,0,0,0.0,0.0,60.0,1,2
24.0,2,208316.23,9,0,2,0,0,0,0.0,0.0,40.0,1,2
39.0,4,634903.8,7,-1,2,3,0,1,13539.056,0.0,35.0,0,2
46.0,4,275935.94,6,2,2,1,0,0,0.0,0.0,40.0,1,2
24.0,4,544178.56,10,0,2,3,1,0,0.0,0.0,40.0,1,2
41.0,4,82726.21,10,-1,2,3,0,0,0.0,0.0,40.0,1,2
44.0,4,160716.92,9,-1,3,2,1,1,0.0,0.0,45.0,1,2
44.0,5,263777.72,13,2,6,1,0,0,0.0,0.0,50.0,1,2
33.0,5,249006.03,13,2,7,1,0,0,0.0,0.0,40.0,1,2
27.0,4,239666.12,13,0,1,-1,0,1,0.0,0.0,40.0,1,2
26.0,4,120086.62,14,-1,6,0,0,1,0.0,0.0,53.687996,1,2
44.0,3,71458.2,13,2,3,1,0,0,0.0,2322.786,50.0,1,2
19.0,4,257397.75,13,0,2,3,0,0,0.0,0.0,40.0,1,2
40.0,4,174803.36,9,2,2,1,1,0,0.0,0.0,45.0,1,2
67.0,4,157558.33,12,-1,3,0,0,1,0.0,0.0,32.0,1,2
36.0,3,233856.08,11,2,3,1,0,0,0.0,0.0,50.0,1,2
26.0,4,217449.3,9,2,6,1,0,0,0.0,0.0,55.0,1,2
30.0,1,133240.47,13,2,7,1,-1,1,0.0,0.0,40.0,1,2
43.0,4,122031.73,13,-1,3,0,0,1,0.0,0.0,40.0,1,2
28.0,4,150850.69,9,0,2,3,0,1,0.0,0.0,40.0,1,2
42.0,4,84367.695,14,2,7,1,-1,0,0.0,0.0,48.0,1,2
43.0,4,206992.53,9,2,2,1,0,0,0.0,0.0,40.0,0,2
44.0,4,178861.28,9,-1,2,2,0,0,0.0,0.0,50.0,1,2
30.0,1,125603.44,6,2,4,1,0,0,4302.4062,0.0,40.0,1,2
31.0,4,271638.75,13,0,6,0,0,0,0.0,0.0,50.0,0,2
25.0,4,171541.45,10,2,2,1,0,0,0.0,0.0,40.0,1,2
33.0,4,174520.6,10,0,3,3,0,1,0.0,0.0,45.0,1,2
53.0,4,369990.38,13,2,7,1,0,0,0.0,0.0,40.0,0,2
30.0,4,105491.875,13,0,3,0,0,1,0.0,0.0,70.0,1,2
55.0,4,225136.39,9,-1,3,0,0,1,0.0,0.0,40.0,1,2
52.0,4,326608.8,9,-1,3,-1,0,1,0.0,0.0,45.0,0,2
40.0,6,339027.3,9,2,2,1,0,0,0.0,0.0,40.0,1,2
42.0,4,177195.84,10,2,2,1,0,0,0.0,0.0,45.0,1,2
26.0,4,363102.1,13,0,3,0,0,0,0.0,0.0,50.0,1,2
27.0,4,79239.836,7,2,2,1,0,0,0.0,0.0,50.0,1,2
30.0,4,124494.49,10,0,2,2,0,0,0.0,0.0,40.0,1,2
46.0,4,322217.7,13,-1,1,2,0,1,0.0,0.0,40.0,1,2
