age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
42.0,4,220454.19,14,2,7,1,0,0,0.0,0.0,46.0,1,1
37.0,4,75483.15,14,2,3,1,0,0,0.0,0.0,40.0,1,1
61.0,4,126764.24,13,-1,3,0,0,0,0.0,0.0,40.0,1,1
42.0,4,368562.25,13,2,5,1,0,0,0.0,1930.0883,40.0,1,1
41.0,4,228247.58,9,2,3,1,0,0,0.0,0.0,50.0,1,1
46.0,4,509825.78,13,2,6,1,0,0,4004.41,0.0,40.086937,1,1
47.0,4,138937.39,12,2,3,1,0,1,0.0,0.0,74.324974,1,1
43.0,5,189692.6,10,2,7,1,1,0,0.0,0.0,40.0,1,1
46.0,4,50226.555,13,2,7,1,0,1,0.0,2001.1799,30.0,1,1
51.0,4,234952.88,10,2,2,1,0,0,7129.8623,0.0,40.0,1,1
33.0,4,186623.22,11,2,6,1,1,0,0.0,0.0,50.0,1,1
42.0,3,67369.484,9,2,2,1,0,0,0.0,0.0,40.0,1,1
48.0,6,193370.6,14,2,7,1,0,1,0.0,0.0,40.0,1,1
52.0,4,177141.27,13,2,6,1,0,0,0.0,0.0,40.0,1,1
60.0,4,144606.19,14,2,2,1,0,0,4093.0803,0.0,40.0,1,1
47.0,4,67125.97,9,2,2,1,0,0,0.0,0.0,40.0,1,1
43.0,4,218723.31,15,2,7,1,0,0,0.0,0.0,40.0,1,1
33.0,4,109257.57,13,2,6,1,1,0,0.0,0.0,60.0,1,1
49.0,6,169569.22,13,2,6,1,0,0,0.0,0.0,50.0,1,1
65.61654,3,259195.33,9,2,3,1,0,0,0.0,0.0,40.0,1,1
52.0,4,22490.492,12,2,5,1,0,0,0.0,0.0,45.0,1,1
40.0,4,115425.47,15,2,7,1,0,0,0.0,0.0,40.0,1,1
44.0,4,194818.06,13,2,3,1,0,0,0.0,0.0,40.0,1,1
30.0,3,238668.55,15,2,7,1,0,0,0.0,0.0,40.0,1,1
42.0,4,348151.5,15,2,3,1,0,0,0.0,0.0,40.0,1,1
38.0,1,215720.11,14,2,7,1,0,0,0.0,0.0,35.0,1,1
52.0,4,270299.72,13,2,7,1,0,0,0.0,0.0,44.0,1,1
48.987095,4,203183.34,14,-1,3,0,0,0,0.0,0.0,40.0,1,1
45.0,4,174625.22,9,-1,6,0,0,1,0.0,0.0,55.0,1,1
49.0,5,54515.152,13,2,6,1,0,0,0.0,0.0,45.0,1,1
51.0,4,56014.387,15,2,7,1,0,0,0.0,0.0,40.0,0,1
57.0,4,77813.15,13,2,6,1,0,0,0.0,0.0,40.0,1,1
49.0,1,492204.7,9,2,2,1,1,0,14877.38,0.0,40.0,1,1
52.0,5,325500.66,9,2,6,1,0,0,0.0,0.0,40.0,1,1
28.0,4,110887.58,13,2,7,1,0,0,0.0,0.0,50.0,1,1
35.0,4,204285.6,14,2,7,1,0,0,0.0,0.0,60.0,1,1
49.0,4,149312.56,13,2,6,1,0,0,0.0,0.0,42.0,1,1
37.0,4,158117.58,13,2,6,1,0,0,0.0,0.0,50.0,1,1
45.0,4,270177.78,15,2,7,1,0,0,0.0,0.0,55.0,1,1
41.0,6,234557.34,10,2,6,1,0,0,0.0,0.0,60.0,1,1
38.0,4,185059.89,13,2,3,1,0,0,0.0,0.0,50.0,1,1
33.0,4,190981.56,9,2,6,1,0,1,0.0,0.0,40.0,1,1
38.0,2,444398.1,13,0,6,0,0,1,0.0,0.0,35.0,1,1
44.0,4,137466.94,10,2,6,1,0,0,0.0,0.0,60.0,1,1
45.0,4,249969.06,14,0,3,2,0,1,14819.659,0.0,49.014114,1,1
55.0,5,148613.58,14,2,3,1,0,0,0.0,0.0,50.0,1,1
58.22189,2,215478.19,13,2,6,1,0,0,0.0,0.0,60.0,1,1
50.0,4,227336.08,16,2,7,1,0,0,0.0,1821.9839,60.0,0,1
73.0,4,282775.03,4,2,1,1,0,1,7528.0044,0.0,40.0,1,1
66.0,5,207430.88,4,2,3,1,0,1,0.0,0.0,19.090164,1,1
47.0,4,199223.5,15,2,7,1,0,1,0.0,0.0,20.0,0,1
49.0,4,121199.89,13,2,5,1,0,0,0.0,0.0,40.0,1,1
52.0,4,122515.06,10,2,7,1,0,0,0.0,0.0,40.0,1,1
66.0,4,129811.88,13,2,6,1,0,0,0.0,0.0,46.0,1,1
65.0,4,194660.67,12,2,7,1,0,0,0.0,0.0,38.0,1,1
53.0,4,219734.95,9,2,3,1,0,0,0.0,0.0,40.0,1,1
44.0,1,109709.76,15,2,6,1,0,0,0.0,1884.3428,50.0,1,1
53.0,4,174446.44,13,2,7,1,0,1,0.0,0.0,40.0,1,1
41.0,1,208946.27,10,2,2,1,0,0,0.0,0.0,50.0,1,1
38.0,1,226184.47,15,2,7,1,0,0,0.0,0.0,56.0,1,1
63.0,4,178053.12,9,2,3,1,0,0,0.0,0.0,40.0,1,1
36.0,4,333677.4,10,2,3,1,0,0,0.0,0.0,40.0,1,1
66.0,4,221932.36,4,2,2,1,0,0,10546.055,0.0,10.0,1,1
37.0,4,167871.08,13,2,7,1,0,0,0.0,0.0,40.0,1,1
69.0,4,481928.44,10,2,7,1,0,0,0.0,1808.632,40.0,1,1
60.0,3,293515.72,14,2,7,1,0,0,0.0,1841.8281,40.0,1,1
34.0,4,227948.94,14,2,7,1,0,0,0.0,0.0,50.0,1,1
70.531044,5,325386.38,13,2,6,1,1,0,0.0,0.0,16.0,1,1
37.0,4,224952.83,13,2,5,1,0,0,0.0,0.0,40.0,1,1
51.677254,4,152823.34,9,2,3,1,0,0,0.0,1984.3136,40.0,1,1
37.0,4,26826.953,11,2,7,1,0,0,0.0,0.0,45.0,1,1
43.0,4,150771.28,4,2,6,1,0,0,0.0,0.0,40.0,1,1
45.0,4,190839.56,9,2,2,1,0,0,0.0,0.0,44.0,1,1
46.0,4,409126.22,11,-1,6,2,1,1,0.0,0.0,48.0,1,1
32.0,6,238703.22,13,2,6,1,0,0,0.0,0.0,60.0,1,1
29.0,4,207395.73,13,2,7,1,0,0,0.0,0.0,35.0,1,1
43.38901,4,109500.68,13,2,7,1,0,0,0.0,0.0,38.0,1,1
55.0,5,28087.87,9,2,1,1,0,0,0.0,0.0,60.0,1,1
46.0,5,99372.984,13,2,6,1,0,0,0.0,0.0,25.0,1,1
37.0,1,158073.62,14,2,7,1,0,0,0.0,1903.5387,55.0,1,1
50.0,6,111591.47,13,2,6,1,0,0,0.0,0.0,40.0,1,1
37.0,4,138493.58,9,2,6,1,0,0,0.0,0.0,42.44942,1,1
57.0,5,515772.7,10,2,5,1,1,0,0.0,0.0,40.0,1,1
40.0,6,120946.07,9,2,3,1,0,0,0.0,1670.0408,70.79797,1,1
35.0,4,212962.42,9,2,2,1,1,0,0.0,0.0,40.0,1,1
40.0,4,179906.7,9,2,3,1,0,0,0.0,0.0,40.0,1,1
53.0,6,197058.31,10,2,3,1,0,0,0.0,0.0,52.0,1,1
49.0,4,136245.8,11,2,7,1,0,0,0.0,0.0,55.0,1,1
37.0,4,165609.2,7,2,3,1,-1,0,0.0,0.0,40.0,0,1
34.0,3,27760.64,13,2,7,1,0,0,0.0,0.0,45.0,1,1
45.0,2,51962.723,9,2,2,1,0,0,0.0,0.0,40.0,1,1
26.0,4,243244.47,13,2,6,1,0,0,3622.157,0.0,40.0,1,1
49.0,4,148205.28,9,2,6,1,0,0,0.0,0.0,99.0,1,1
35.0,4,249947.72,15,2,6,1,1,0,0.0,0.0,40.0,1,1
59.0,5,134694.81,13,2,6,1,0,0,0.0,0.0,40.0,1,1
50.0,4,339571.28,13,2,3,1,0,0,0.0,0.0,45.0,1,1
45.0,4,186729.84,16,2,7,1,0,0,0.0,0.0,50.0,1,1
35.0,4,196889.17,11,2,2,1,0,0,10788.032,0.0,40.0,1,1
42.615788,4,224915.92,13,2,6,1,0,0,0.0,0.0,48.0,1,1
39.0,4,327512.03,13,2,2,1,0,0,0.0,0.0,48.0,1,1
50.0,4,631083.5,10,2,3,1,0,0,0.0,0.0,40.0,1,1
41.0,4,186903.73,11,2,7,1,0,0,0.0,0.0,84.18345,1,1
36.0,4,391321.12,10,2,3,1,1,1,0.0,0.0,40.0,1,1
40.0,1,162759.53,10,2,6,1,0,0,0.0,1975.8245,50.0,1,1
57.0,1,545354.3,14,2,7,1,0,0,5012.6885,0.0,25.0,1,1
34.0,4,121372.21,9,2,3,1,0,0,0.0,0.0,40.0,1,1
62.0,4,184332.19,10,2,6,1,0,0,0.0,0.0,48.0,1,1
54.0,4,51241.63,14,2,3,1,0,0,0.0,0.0,50.0,1,1
43.0,4,393741.75,9,2,7,1,0,0,0.0,0.0,50.0,1,1
49.0,4,146821.62,9,2,3,1,0,0,0.0,0.0,40.0,1,1
52.0,4,23077.172,9,2,3,1,0,0,0.0,0.0,60.0,1,1
44.0,1,176378.52,14,2,7,1,0,0,0.0,0.0,40.0,1,1
34.0,3,124741.32,16,2,2,1,0,1,0.0,1672.0,60.0,1,1
55.0,4,199062.83,9,2,2,1,0,0,0.0,0.0,45.0,1,1
52.0,4,409056.75,10,2,3,1,0,0,0.0,0.0,45.0,1,1
27.0,4,52722.383,10,2,5,1,0,0,0.0,0.0,50.0,1,1
53.0,1,260221.83,13,2,6,1,0,1,0.0,0.0,40.0,1,1
37.0,4,189107.34,9,2,6,1,0,0,0.0,0.0,40.0,0,1
56.0,4,201049.69,10,2,3,1,0,0,0.0,0.0,40.0,1,1
47.0,4,32609.584,9,2,5,1,0,0,0.0,0.0,40.0,1,1
48.0,4,222938.66,13,2,6,1,0,0,0.0,0.0,50.0,1,1
65.46039,4,66883.414,14,2,7,1,0,0,0.0,0.0,25.0,0,1
51.0,1,34607.45,11,2,6,1,0,0,0.0,0.0,45.0,1,1
39.0,4,323711.72,13,2,3,1,0,0,0.0,0.0,40.0,1,1
47.0,2,169913.7,16,2,7,1,0,0,0.0,0.0,48.0,1,1
63.0,4,188371.67,14,2,3,1,0,0,9481.849,0.0,45.0,1,1
55.0,4,225925.55,10,2,3,1,0,0,0.0,0.0,40.0,1,1
44.0,2,244916.12,13,2,6,1,0,0,0.0,0.0,40.0,1,1
41.0,4,95634.84,14,2,3,1,0,0,0.0,0.0,40.0,1,1
48.044075,4,105091.19,14,2,3,1,0,0,0.0,0.0,60.0,1,1
49.0,4,44219.484,13,2,3,1,0,0,0.0,0.0,61.209595,1,1
41.0,4,66266.516,14,2,7,1,0,0,0.0,0.0,40.0,1,1
40.0,4,409647.56,11,2,3,1,0,0,0.0,0.0,40.0,1,1
41.0,4,226094.66,10,2,6,1,0,0,0.0,0.0,60.0,1,1
50.0,5,191517.05,16,2,6,1,0,0,0.0,0.0,35.0,1,1
55.83751,5,58610.76,16,2,7,1,0,0,0.0,0.0,30.0,1,1
37.0,5,403249.84,10,2,2,1,0,0,0.0,0.0,50.0,1,1
