age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
49.0,6,30692.562,15,-1,1,0,0,0,14735.319,0.0,40.0,1,1
40.0,4,215950.69,13,2,2,1,0,0,0.0,0.0,40.0,1,1
58.0,5,180266.22,13,2,6,1,0,0,0.0,0.0,40.0,1,1
58.0,4,168067.94,9,2,2,1,0,0,0.0,0.0,40.0,1,1
44.0,4,248222.94,11,2,3,1,0,0,0.0,0.0,42.0,1,1
36.0,4,46286.91,15,2,7,1,0,0,0.0,0.0,40.0,1,1
37.0,4,236118.52,9,2,2,1,0,0,6713.7866,0.0,55.86675,1,1
53.0,4,191186.33,11,2,2,1,0,0,0.0,0.0,40.0,1,1
40.0,4,90349.27,9,0,2,0,0,0,0.0,0.0,50.0,1,1
50.0,4,312253.4,13,2,4,1,1,0,0.0,0.0,55.0,1,1
41.0,5,33411.543,10,2,7,1,0,0,5538.279,0.0,65.0,1,1
55.0,1,237889.27,14,2,7,1,0,0,0.0,0.0,40.0,1,1
39.0,4,146769.42,9,-1,3,0,0,0,0.0,0.0,60.0,0,1
51.0,4,176790.78,13,-1,6,0,0,0,14562.861,0.0,80.0,1,1
32.0,4,35341.52,10,2,6,1,0,0,10312.66,0.0,40.0,1,1
53.0,4,199718.12,14,2,7,1,0,0,84807.15,0.0,50.0,1,1
51.0,5,240799.64,9,-1,7,2,0,0,0.0,0.0,40.0,1,1
52.0,4,183587.98,13,-1,7,0,0,0,0.0,0.0,81.53601,1,1
47.0,3,180038.38,10,2,6,1,-1,0,0.0,0.0,40.0,0,1
61.0,4,199826.45,14,2,6,1,0,0,0.0,0.0,40.0,1,1
30.0,2,151557.95,7,2,2,1,0,0,0.0,0.0,50.0,1,1
72.0,6,166427.73,10,2,6,1,0,0,7165.168,0.0,40.0,1,1
53.612206,4,55441.625,14,2,7,1,0,0,96657.15,0.0,40.0,1,1
43.64115,4,347588.7,13,2,6,1,0,0,99999.0,0.0,50.0,1,1
49.0,4,188842.9,14,-1,7,0,0,1,0.0,0.0,46.211933,1,1
36.0,4,192895.9,13,2,6,1,0,0,0.0,0.0,73.25217,1,1
57.0,4,216621.3,9,2,2,1,1,0,0.0,0.0,60.0,1,1
47.0,1,135323.5,14,2,7,1,0,0,0.0,0.0,58.980858,1,1
40.0,3,354865.78,12,2,3,1,0,0,0.0,0.0,40.0,0,1
55.0,1,355585.12,14,2,7,1,0,0,0.0,0.0,38.0,1,1
40.0,4,174180.45,10,-1,7,0,0,1,0.0,0.0,60.0,1,1
55.0,4,175150.33,13,2,6,1,0,0,0.0,0.0,40.0,1,1
41.0,5,134394.06,13,2,2,1,0,0,0.0,0.0,55.0,1,1
41.0,4,241300.52,12,2,3,1,0,1,4671.161,0.0,60.0,1,1
45.0,3,108789.445,9,2,2,1,0,0,0.0,0.0,61.72019,1,1
48.0,4,177345.67,14,2,6,1,0,0,0.0,0.0,52.0,1,1
42.0,4,29749.982,10,2,2,1,0,0,0.0,0.0,40.0,1,1
35.0,4,194699.2,10,2,2,1,0,0,0.0,0.0,40.0,1,1
46.0,4,203479.64,11,2,3,1,0,0,0.0,0.0,48.0,1,1
50.0,6,113098.625,11,2,2,1,0,0,0.0,0.0,50.0,1,1
43.0,1,168217.86,14,2,7,1,0,0,0.0,0.0,50.0,1,1
56.0,3,244657.39,13,2,3,1,0,0,0.0,0.0,40.0,0,1
55.0,5,236999.11,14,2,6,1,0,0,0.0,0.0,50.0,1,1
46.0,4,264688.53,6,-1,2,2,0,0,0.0,0.0,40.0,1,1
48.0,4,89731.01,10,2,3,1,0,0,6742.022,0.0,40.0,1,1
61.0,4,189829.9,9,2,2,1,0,0,0.0,0.0,40.0,1,1
37.039547,4,266943.22,13,2,3,1,1,0,0.0,0.0,60.0,1,1
45.0,1,204743.28,10,2,2,1,0,0,0.0,0.0,40.0,1,1
53.0,4,189839.84,11,0,3,0,0,1,89641.195,0.0,40.0,1,1
75.53558,5,109425.055,14,2,3,1,0,0,0.0,0.0,15.0,1,1
37.0,4,152477.84,14,0,6,0,0,0,0.0,0.0,40.0,1,1
47.0,5,170756.02,14,2,6,1,0,0,0.0,0.0,50.0,1,1
39.0,1,222550.86,9,2,3,1,1,0,0.0,0.0,40.0,1,1
68.0,5,138442.89,9,2,3,1,1,0,5013.0,0.0,40.0,1,1
