age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
53.0,5,106886.45,13,2,3,1,0,1,0.0,0.0,9.451476,1,1
35.0,4,234407.02,13,2,2,1,0,0,0.0,0.0,50.0,1,1
41.0,5,146714.2,10,2,1,1,0,0,0.0,0.0,64.64448,1,1
59.0,5,131067.945,13,2,3,1,0,0,0.0,0.0,60.0,1,1
41.0,4,109599.85,10,2,6,1,0,0,0.0,0.0,40.0,1,1
40.0,5,332338.97,7,2,6,1,1,0,7393.574,0.0,50.0,1,1
60.0,4,96118.5,10,2,7,1,0,0,15301.021,0.0,40.0,1,1
37.0,4,238968.08,9,2,3,1,0,0,0.0,0.0,40.0,1,1
52.0,4,261848.62,10,2,2,1,0,0,0.0,0.0,40.0,1,1
46.0,4,220916.61,9,2,2,1,0,0,9441.868,0.0,40.0,0,1
54.0,4,123405.125,13,2,6,1,0,1,11448.432,0.0,35.0,1,1
51.256195,4,189694.47,13,2,7,1,0,0,0.0,1709.387,30.0,1,1
52.0,1,187417.6,12,2,2,1,0,0,34066.293,0.0,40.0,1,1
50.0,4,242452.17,10,2,2,1,0,0,0.0,0.0,55.0,1,1
50.0,4,213009.73,12,2,6,1,0,1,0.0,0.0,40.0,1,1
41.0,4,312396.0,14,2,3,1,0,0,11985.373,0.0,60.0,1,1
68.0,4,190874.98,13,-1,6,0,0,0,0.0,0.0,25.0,1,1
61.0,4,118471.35,11,2,2,1,0,0,0.0,0.0,50.0,1,1
33.0,4,116201.51,9,2,2,1,0,0,96243.56,0.0,40.0,1,1
43.0,1,282710.5,13,2,7,1,0,0,0.0,0.0,99.0,1,1
53.0,4,210272.44,9,2,2,1,0,0,0.0,0.0,40.0,1,1
38.0,4,270382.6,13,2,3,1,0,0,0.0,1895.6023,55.0,1,1
57.0,4,228393.77,14,2,7,1,0,1,0.0,0.0,20.0,0,1
45.0,4,296745.38,9,2,2,1,1,0,0.0,0.0,40.0,0,1
36.0,5,65345.043,9,2,7,1,0,0,0.0,0.0,25.0,1,1
50.0,4,337446.38,10,2,6,1,-1,0,7640.61,0.0,45.0,0,1
41.0,4,227220.92,15,2,3,1,0,0,5013.0,0.0,50.0,1,1
36.0,1,234040.19,13,2,7,1,0,1,0.0,0.0,40.0,1,1
30.0,4,167424.53,12,2,3,1,0,1,0.0,0.0,72.0,1,1
32.0,4,414440.22,9,0,2,0,0,0,66347.5,0.0,40.0,0,1
35.0,4,233027.14,10,2,3,1,0,0,0.0,0.0,55.0,1,1
38.0,4,134868.8,13,2,5,1,0,0,0.0,0.0,50.0,1,1
71.0,6,87344.125,14,2,6,1,0,0,6519.538,0.0,50.0,1,1
46.0,4,103361.2,9,2,7,1,0,0,0.0,0.0,50.0,1,1
38.0,4,151026.02,14,2,6,1,0,0,0.0,0.0,60.0,1,1
43.0,4,228292.86,14,-1,7,0,0,1,80400.26,0.0,20.0,1,1
40.0,4,207878.89,11,2,6,1,0,0,0.0,0.0,60.0,1,1
47.0,4,213595.39,10,2,2,1,0,0,0.0,0.0,30.740324,1,1
40.0,4,100825.35,9,-1,3,2,0,0,0.0,0.0,40.0,1,1
32.0,4,178098.94,13,2,3,1,0,0,0.0,0.0,45.0,1,1
38.0,5,194949.08,12,2,2,1,-1,0,0.0,0.0,55.0,0,1
47.0,5,108863.46,13,2,6,1,-1,0,0.0,0.0,60.0,0,1
31.0,4,89537.516,9,-1,2,0,0,0,0.0,0.0,50.0,1,1
38.0,4,390288.28,9,-1,2,0,1,0,0.0,0.0,40.0,1,1
39.0,4,151291.39,13,2,2,1,0,0,0.0,0.0,48.0,1,1
30.0,4,57689.82,9,2,5,1,0,0,0.0,0.0,40.0,0,1
37.0,4,216842.88,14,2,3,1,1,0,10117.885,0.0,60.0,1,1
42.0,2,35306.527,13,2,7,1,0,0,0.0,0.0,40.0,1,1
54.0,4,95502.15,13,2,2,1,0,0,0.0,0.0,40.0,1,1
40.0,2,80584.55,13,2,7,1,-1,0,0.0,0.0,30.0,0,1
62.0,4,159916.36,13,2,6,1,0,1,0.0,0.0,40.0,0,1
35.0,2,147913.11,15,2,4,1,0,0,0.0,0.0,40.0,1,1
49.0,5,236312.22,10,2,6,1,0,0,0.0,1740.0562,35.0,0,1
41.0,3,344553.4,14,2,6,1,0,0,0.0,0.0,40.0,1,1
33.0,4,210543.25,9,2,6,1,0,0,0.0,0.0,40.0,1,1
44.0,4,103515.94,13,2,2,1,0,0,0.0,0.0,50.0,1,1
66.97972,4,201915.86,9,2,2,1,0,0,0.0,0.0,80.94566,1,1
50.0,4,142631.56,13,2,3,1,0,1,0.0,0.0,49.26318,1,1
51.0,4,103535.23,14,2,6,1,0,0,0.0,0.0,40.0,1,1
39.0,4,169058.72,5,2,3,1,0,0,7146.687,0.0,40.0,1,1
61.0,1,227731.44,9,2,3,1,0,1,0.0,0.0,25.0,1,1
64.0,4,286485.38,8,2,1,1,0,0,0.0,0.0,40.0,1,1
