age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
56.0,4,204536.42,10,2,2,1,0,0,0.0,0.0,40.0,1,2
32.77874,4,68367.914,9,2,3,1,0,0,0.0,0.0,40.0,1,2
36.0,4,334427.1,11,2,3,1,0,1,0.0,0.0,40.0,1,2
38.0,3,45504.637,14,0,6,0,0,1,0.0,0.0,36.0,1,2
47.0,4,33756.047,11,2,2,1,0,0,0.0,2018.9657,40.0,1,2
35.0,4,216879.1,10,2,2,1,0,0,0.0,0.0,50.0,1,2
34.0,4,241678.56,15,2,7,1,0,0,0.0,0.0,50.0,1,2
34.0,4,342116.56,13,2,2,1,0,1,0.0,0.0,24.0,1,2
51.0,4,42697.984,10,2,2,1,0,0,0.0,0.0,25.0,1,2
51.20974,2,287347.84,13,2,6,1,0,0,14663.564,0.0,50.0,1,2
44.0,4,354151.5,13,2,3,1,0,0,15033.165,0.0,40.0,1,2
40.0,4,184754.77,9,2,3,1,0,0,0.0,0.0,45.0,1,2
42.0,5,331619.47,14,2,3,1,0,0,86628.77,0.0,40.0,1,2
65.0,5,164541.92,10,2,6,1,0,0,89530.27,0.0,52.0,1,2
35.0,1,119610.26,14,2,7,1,0,0,7350.476,0.0,40.0,1,2
33.0,4,250390.3,10,2,3,1,0,1,6257.828,0.0,50.0,0,2
39.0,4,201877.84,13,2,6,1,0,0,0.0,0.0,50.0,1,2
48.745907,4,55780.535,10,-1,6,0,0,1,6959.3384,0.0,40.0,1,2
29.0,4,64665.098,9,2,3,1,0,0,0.0,0.0,50.0,1,2
31.0,2,152359.16,9,2,3,1,0,1,0.0,0.0,40.0,1,2
39.0,4,68546.875,10,2,5,1,0,0,0.0,0.0,56.65484,1,2
52.0,4,217731.64,14,2,6,1,0,0,0.0,2001.4906,50.0,1,2
42.0,4,186020.19,13,-1,7,2,0,1,0.0,0.0,50.0,1,2
44.0,4,260358.05,10,2,7,1,0,0,0.0,0.0,45.0,1,2
36.0,4,190809.86,12,-1,6,2,0,1,7505.488,0.0,55.0,1,2
48.0,4,160138.05,13,2,6,1,1,0,0.0,2170.408,50.0,1,2
37.0,4,146238.47,9,2,3,1,0,0,0.0,0.0,40.0,1,2
32.0,4,215751.94,10,2,2,1,0,0,0.0,0.0,45.0,1,2
55.0,6,175388.47,9,-1,3,0,0,1,0.0,0.0,45.0,1,2
61.0,5,190987.58,16,2,7,1,0,0,88836.92,0.0,30.0,1,2
49.0,4,110018.03,9,2,3,1,0,0,0.0,0.0,40.0,1,2
49.0,4,207441.55,9,2,2,1,0,0,0.0,0.0,40.0,1,2
42.0,6,105135.4,14,2,6,1,0,0,40359.176,0.0,40.0,1,2
45.0,4,48531.76,9,-1,3,2,0,1,0.0,0.0,36.0,1,2
47.0,4,108009.31,9,2,6,1,0,0,0.0,0.0,40.0,1,2
64.0,5,139616.1,12,2,3,1,0,0,0.0,0.0,52.0,1,2
42.0,4,195259.58,9,-1,3,2,0,1,0.0,0.0,65.0,1,2
46.0,3,204868.28,13,2,7,1,0,0,61644.527,0.0,40.0,1,2
51.0,4,233257.39,14,2,6,1,0,0,87783.24,0.0,50.0,1,2
46.0,2,278901.88,13,-1,6,0,0,0,0.0,0.0,40.0,1,2
40.0,4,56698.562,14,2,3,1,0,0,0.0,0.0,48.0,1,2
40.0,4,73576.18,9,0,2,-1,-1,0,0.0,0.0,50.0,1,2
45.0,4,156444.23,9,2,3,1,0,1,6133.1914,0.0,40.0,1,2
44.0,4,357645.25,10,2,2,1,0,0,0.0,0.0,40.0,1,2
51.0,4,123673.13,13,2,7,1,0,0,0.0,0.0,45.0,1,2
47.0,1,112165.91,11,2,1,1,0,0,0.0,0.0,60.0,1,2
60.0,4,190442.33,15,2,3,1,0,0,0.0,0.0,50.0,1,2
61.28171,6,122128.51,14,2,2,1,0,0,0.0,0.0,60.0,1,2
41.0,4,52338.844,9,2,2,1,0,0,80678.13,0.0,40.0,1,2
49.0,1,174292.1,14,2,7,1,0,0,0.0,0.0,40.0,1,2
43.0,3,118239.85,13,2,6,1,0,0,0.0,0.0,40.0,1,2
47.0,5,243672.38,11,2,2,1,0,1,0.0,0.0,35.0,1,2
55.0,4,376334.3,14,2,7,1,0,0,0.0,1979.7288,50.0,1,2
56.0,5,205756.9,13,2,6,1,0,0,0.0,0.0,60.0,1,2
44.0,4,174727.92,9,2,6,1,0,0,0.0,0.0,60.0,1,2
57.0,4,209359.03,13,2,7,1,0,0,0.0,0.0,35.0,1,2
38.0,4,88417.64,9,2,2,1,0,0,0.0,0.0,40.0,1,2
42.0,4,186772.17,10,2,2,1,0,0,0.0,0.0,72.0,1,2
54.0,4,105973.55,3,2,2,1,0,0,0.0,0.0,40.0,1,2
31.0,4,368318.47,13,2,7,1,0,1,0.0,0.0,40.0,1,2
49.786205,4,214596.05,12,2,2,1,0,0,0.0,0.0,40.0,1,2
41.0,4,288476.1,9,2,3,1,0,0,0.0,0.0,40.0,1,2
35.0,4,238255.73,14,2,6,1,0,0,0.0,0.0,40.0,1,2
46.0,4,159091.53,11,2,3,1,0,0,0.0,0.0,40.0,1,2
60.0,4,111618.86,10,2,3,1,0,0,0.0,0.0,47.742622,1,2
37.0,4,89750.63,11,2,6,1,0,0,0.0,1978.8936,40.0,1,2
52.0,4,129286.5,14,0,6,-1,0,0,98020.82,0.0,60.0,1,2
50.0,4,139047.03,9,2,2,1,0,0,5613.893,0.0,18.0,1,2
33.0,4,318808.2,13,2,3,1,0,0,0.0,0.0,45.0,1,2
58.0,4,160035.9,11,2,3,-1,0,1,3450.5364,0.0,40.0,1,2
