age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
90.0,4,1490400.0,16.0,-1,3,3,1,0,0.0,4356.0,99.0,0,1
38.0,4,89520.72342827014,12.0,2,2,1,0,0,0.0,0.0,40.0,1,1
55.83310549324659,4,336563.9868852652,14.0,0,7,0,0,0,0.0,0.0,40.0,1,1
35.0,4,166245.48130177188,10.0,2,3,1,0,0,0.0,0.0,40.0,1,1
51.0,4,188265.6191364604,14.0,-1,6,0,0,0,17476.75504033036,0.0,60.0,1,1
30.0,4,275304.03872333426,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
28.0,4,179070.34089090728,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
32.0,4,240708.82046222396,10.0,2,6,1,0,0,0.0,0.0,40.0,1,1
45.0,3,153559.93095494597,13.0,2,7,1,0,0,0.0,0.0,48.0,1,1
35.0,4,162921.81732499346,10.0,2,3,1,0,0,0.0,0.0,40.0,1,1
46.0,5,391680.8878479627,9.0,2,1,1,0,0,0.0,1679.19474693867,65.0,1,1
44.0,4,144641.33970544062,9.0,2,6,1,0,0,8209.30349407226,0.0,40.0,1,1
61.0,4,462083.16973157146,9.0,-1,3,0,0,0,11708.52305741739,0.0,40.0,1,1
65.6104363019481,6,98598.01675461367,15.0,0,7,0,0,0,99999.0,0.0,45.0,0,1
33.0,6,234206.9022870095,15.0,2,7,1,0,0,0.0,2048.7547301208374,75.0,1,1
36.0,3,208023.08003969712,14.0,2,6,1,0,0,0.0,0.0,40.0,0,1
47.489567659998556,5,117671.67738309491,9.0,2,6,1,0,0,0.0,0.0,52.0,1,1
47.0,6,293542.10913263605,9.0,2,3,1,0,1,0.0,0.0,50.0,1,1
41.33232084020316,4,391243.9989306261,13.0,2,3,1,1,0,5013.0,0.0,40.0,1,1
43.0,3,50440.26426724694,12.0,2,7,1,0,0,0.0,0.0,45.0,1,1
55.98359070653141,4,152097.64978826194,14.0,2,7,1,0,0,6737.393395214207,0.0,55.81765173212137,1,1
48.0,1,110064.7814852218,12.0,2,3,1,0,1,0.0,0.0,48.0,1,1
49.0,4,191191.22881472114,5.0,2,2,1,0,0,0.0,0.0,25.0,1,1
41.3117997450632,3,199436.63881211248,11.0,2,3,1,0,1,0.0,0.0,40.0,0,1
32.0,4,358370.805558631,9.0,-1,3,0,0,0,38730.194614172055,0.0,60.0,1,1
51.0,2,77692.28772200507,13.0,-1,6,2,0,1,0.0,0.0,40.0,1,1
62.0,4,66592.80300352408,13.0,2,3,1,0,0,98554.80164919831,0.0,20.0,1,1
47.0,4,276269.8254002613,13.0,2,7,1,0,0,0.0,2033.661111457809,40.0,1,1
39.0,4,282543.1873943346,13.0,2,3,1,0,0,7522.003274232313,0.0,52.0,1,1
42.0,4,249128.89746137196,10.0,2,2,1,1,0,8713.249396631001,0.0,40.0,1,1
62.0,4,101655.12548678252,9.0,2,3,1,1,0,7574.916246473004,0.0,40.0,1,1
36.0,4,79708.09775512533,10.0,2,6,1,0,0,0.0,0.0,44.24119828019359,1,1
43.0,4,249339.64177369056,16.0,0,7,0,0,1,55043.6309901433,0.0,65.0,1,1
50.0,4,192998.72275111213,10.0,-1,5,2,0,1,0.0,0.0,40.0,1,1
58.0,4,85888.86080152895,5.0,2,2,1,1,1,0.0,0.0,20.0,1,1
37.0,4,178299.33525307107,11.0,2,3,1,0,0,10830.297900897667,0.0,60.0,1,1
50.0,4,331831.0333921356,13.0,2,3,1,0,0,0.0,0.0,40.0,1,1
39.0,4,361736.9962039683,9.0,2,3,1,0,0,0.0,0.0,50.0,1,1
38.0,4,188157.30971318056,13.0,2,6,1,0,0,7654.878584170305,0.0,56.791785991711635,1,1
44.0,3,169214.52233681967,12.0,2,6,1,0,0,0.0,0.0,40.0,1,1
58.0,4,224763.14849850873,13.0,2,6,1,1,0,0.0,0.0,50.0,1,1
43.0,2,245192.81226101852,13.0,2,6,1,0,0,0.0,0.0,25.0,1,1
30.0,4,321672.8758435748,10.0,0,6,0,0,0,94275.2413247797,0.0,48.0,1,1
54.0,4,134815.7218855013,9.0,2,2,1,0,0,0.0,0.0,50.0,1,1
35.0,4,158737.6911619658,13.0,2,3,1,0,1,0.0,0.0,70.0,1,1
38.0,4,108020.99938816876,12.0,2,3,1,0,0,0.0,0.0,40.0,1,1
47.0,4,166354.35063926107,9.0,-1,2,0,0,1,0.0,0.0,40.0,1,1
59.0,5,158641.9787018186,14.0,2,7,1,0,0,0.0,0.0,60.0,1,1
47.0,4,112414.52323190027,13.0,2,6,1,0,0,0.0,0.0,50.0,1,1
32.0,4,119626.33347849043,10.0,2,2,1,0,0,0.0,0.0,48.0,1,1
47.0,4,185160.7972657193,14.0,2,6,1,0,0,84550.1048794216,0.0,55.0,1,1
34.0,4,33081.224364982925,9.0,2,1,1,0,0,0.0,0.0,50.0,1,1
51.0,4,295212.7215128976,14.0,-1,7,0,0,1,12420.700225524432,0.0,60.0,1,1
46.0,3,52057.929399016066,13.0,2,2,1,-1,0,0.0,0.0,40.0,0,1
46.0,2,102717.76129410406,10.0,2,2,1,0,0,0.0,0.0,60.0,1,1
39.0,4,321015.2789153979,14.0,2,3,1,0,0,0.0,0.0,40.0,1,1
49.0,3,139052.30793313475,13.0,2,5,1,0,0,0.0,0.0,40.0,1,1
38.0,4,149161.91442435706,12.0,2,3,1,0,0,0.0,0.0,24.921281171857384,1,1
47.0,4,142778.96647932177,14.0,2,7,1,0,0,0.0,0.0,40.0,1,1
54.0,4,189081.42943008887,13.0,2,3,1,0,1,0.0,0.0,20.0,1,1
44.0,4,75381.23905525272,14.0,2,6,1,0,0,43994.31517143403,0.0,48.0,1,1
48.0,5,249699.76690282387,13.0,2,3,1,0,0,0.0,0.0,60.0,0,1
48.0,4,420299.7765403392,9.0,2,2,1,0,0,0.0,0.0,50.0,1,1
41.0,4,145181.87548944046,13.0,2,7,1,0,0,0.0,0.0,40.0,1,1
31.0,3,168216.35516735932,13.0,2,7,1,0,0,10302.568401538063,0.0,40.0,1,1
38.0,4,209518.9405446947,11.0,2,3,1,0,0,0.0,0.0,40.0,1,1
33.0,2,60839.11068380979,11.0,2,2,1,0,0,0.0,0.0,40.0,1,1
47.35043433951027,4,60100.06572425314,13.0,2,3,1,0,0,0.0,0.0,65.0,1,1
35.0,6,53085.84978501572,10.0,2,7,1,0,0,0.0,0.0,50.0,1,1
57.076829371242226,4,161837.12927220186,13.0,2,4,1,0,0,4650.0,0.0,40.0,1,1
40.0,4,142906.4458927935,13.0,2,2,1,0,0,7892.922188757875,0.0,40.0,1,1
53.0,4,161346.5403321568,14.0,0,7,0,0,0,0.0,0.0,50.0,1,1
37.0,2,325733.43579110387,14.0,2,3,1,0,0,0.0,0.0,40.0,1,1
52.0,4,289819.36958948843,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
41.0,4,389873.19851627166,10.0,2,3,1,0,0,0.0,0.0,64.48823044162269,1,1
59.0,5,125559.09772121577,15.0,2,7,1,0,0,94714.43239446775,0.0,28.0,1,1
51.14034723994412,5,136050.05695942714,16.0,-1,7,0,0,1,0.0,1866.5155962572826,16.0,1,1
48.0,4,151674.82076021328,10.0,2,2,1,0,0,0.0,0.0,40.0,1,1
34.0,4,175604.21807683422,13.0,2,6,1,0,0,0.0,0.0,40.0,1,1
36.0,4,349415.5327248673,9.0,2,4,1,0,0,0.0,0.0,40.0,0,1
40.0,4,213249.17001120545,15.0,2,7,1,0,0,0.0,1990.4386010309904,60.0,1,1
60.0,5,159118.72384529893,13.0,-1,7,0,0,0,0.0,0.0,40.0,1,1
45.0,6,87388.5390208674,13.0,2,3,1,0,0,34206.490594393144,0.0,60.0,1,1
52.0,4,183263.92453406312,11.0,2,3,1,0,0,0.0,0.0,60.0,1,1
48.0,1,187096.6028794362,13.0,2,7,1,0,0,0.0,0.0,62.579851368076945,1,1
63.451374345960936,4,138750.8102216057,9.0,2,2,1,-1,0,8592.425160889177,0.0,45.0,1,1
40.0,4,281282.5363456527,13.0,2,5,1,0,0,0.0,0.0,40.0,1,1
46.0,1,119271.17174633512,15.0,2,7,1,0,0,0.0,0.0,60.0,1,1
35.05610065440443,4,163898.1580088018,11.0,2,2,1,0,0,0.0,0.0,40.0,1,1
36.0,2,153298.31425979384,13.0,2,7,1,-1,0,0.0,0.0,40.0,0,1
40.0,4,87721.84727284391,10.0,2,3,1,0,1,0.0,0.0,40.0,1,1
44.0,4,297467.4094523155,13.0,2,6,1,0,0,0.0,0.0,40.0,1,1
48.900514682411945,5,202017.34772083373,9.0,2,6,1,0,0,93882.73110624499,0.0,60.0,1,1
65.0,4,122885.31098415244,11.0,2,6,1,-1,0,6133.97604474181,0.0,40.0,0,1
30.0,4,185737.37114576672,10.0,2,3,1,0,0,0.0,0.0,45.0,1,1
53.0,2,36537.02377464434,10.0,2,2,1,0,0,0.0,0.0,40.0,1,1
79.26546085271158,4,76207.80081729837,13.0,2,5,1,0,0,0.0,0.0,40.0,1,1
47.70069917189315,5,112229.79412803349,14.0,2,7,1,0,0,9002.07960396962,0.0,50.0,1,1
90.0,4,13492.0,16.0,-1,1,0,0,0,0.0,4356.0,99.0,0,1
45.0,4,159065.1454487332,10.0,2,6,1,0,1,7616.069160596802,0.0,30.0,1,1
49.0,4,197479.52252867728,9.0,2,2,1,1,0,0.0,0.0,40.0,1,1
37.0,4,169249.25461416526,13.0,2,6,1,0,0,0.0,0.0,50.0,1,1
39.0,4,213601.26566176632,14.0,2,7,1,0,0,0.0,0.0,60.0,1,1
28.0,4,197844.95584211271,10.0,2,3,1,1,0,0.0,0.0,40.0,1,1
57.0,6,166196.77856149868,14.0,2,6,1,0,0,0.0,0.0,46.0,1,1
45.0,4,339656.24552258087,9.0,2,2,1,0,0,0.0,0.0,45.0,1,1
50.0,4,235846.92600700248,10.0,2,3,1,0,0,0.0,0.0,25.0,1,1
63.0,4,193440.23523516138,10.0,2,3,1,0,0,0.0,0.0,40.0,0,1
58.50116483726258,4,162905.89132600543,14.0,2,6,1,0,0,0.0,0.0,50.0,1,1
76.56191081598845,6,31175.491183643793,9.0,2,6,1,0,0,0.0,0.0,20.0,1,1
47.102734103690686,4,107504.98172005964,13.0,2,6,1,0,0,10506.88519312077,0.0,40.0,0,1
42.0,3,290406.32926488476,11.0,2,2,1,0,0,6876.513172363309,0.0,40.0,0,1
43.0,4,272609.14838872623,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
55.0,4,226050.5895144511,9.0,2,6,1,-1,1,0.0,0.0,40.0,0,1
37.954565516630105,4,187011.84047073522,16.0,2,7,1,-1,0,0.0,0.0,60.0,0,1
34.0,4,182177.9091244766,10.0,2,6,1,0,0,0.0,0.0,40.0,0,1
52.0,4,37513.085842781824,9.0,2,7,1,0,0,0.0,1876.0,40.0,1,1
30.0,4,40025.09158419554,10.0,2,7,1,0,1,53896.28762340362,0.0,40.0,1,1
45.0,4,190409.18555872436,13.0,-1,7,0,0,0,0.0,0.0,60.0,1,1
37.0,4,138898.1268587263,13.0,2,1,1,0,0,0.0,0.0,50.0,1,1
39.0,4,311796.7494240834,9.0,2,6,1,0,0,4744.8887680246735,0.0,40.0,1,1
46.0,4,366853.17367945326,10.0,2,2,1,0,0,0.0,0.0,40.0,1,1
52.0,4,114139.6647818261,10.0,2,2,1,0,0,0.0,0.0,40.0,1,1
64.0,4,293004.0406858382,9.0,2,3,1,0,0,6849.310154279737,0.0,40.0,1,1
41.0,4,190464.61633253857,14.0,2,6,1,0,0,0.0,0.0,40.0,1,1
45.0,1,371044.3088145825,11.0,2,6,1,1,0,0.0,0.0,50.0,1,1
31.0,4,157618.4274065712,9.0,2,5,1,0,0,0.0,0.0,40.0,1,1
40.0,3,14009.028054663282,12.0,2,6,1,0,0,5013.0,0.0,50.0,1,1
44.0,5,114035.02431944465,13.0,2,7,1,0,0,0.0,0.0,72.0,1,1
42.0,4,143167.28070272197,10.0,2,5,1,0,0,0.0,0.0,51.43679224852964,1,1
43.0,4,155940.59755735155,13.0,2,5,1,0,1,0.0,0.0,25.0,1,1
42.0,2,206465.14636927724,12.0,2,3,1,0,0,0.0,0.0,55.0,1,1
56.0,4,336654.0581765815,9.0,2,3,1,0,0,0.0,0.0,40.0,1,1
57.0,6,197324.84455728592,16.0,2,6,1,-1,0,806.2050151138579,0.0,12.0,0,1
37.0,4,33722.70246766795,15.0,-1,3,0,0,0,99999.0,0.0,55.0,1,1
28.0,4,138864.06078642415,11.0,2,7,1,0,0,0.0,0.0,50.0,1,1
33.88212392895436,4,102090.88989660286,10.0,2,3,1,0,0,5535.394785684635,0.0,40.0,1,1
49.0,4,226763.69059629657,9.0,2,3,1,0,0,0.0,0.0,40.0,1,1
51.0,4,174656.05317113525,14.0,0,7,0,0,0,10545.394572413275,0.0,40.0,1,1
30.0,3,107070.51005166114,10.0,2,5,1,0,0,0.0,0.0,40.0,1,1
40.0,4,203318.2990602807,11.0,2,6,1,0,1,11406.61027068635,0.0,40.0,1,1
53.0,4,96415.07986468718,14.0,2,6,1,0,0,0.0,0.0,60.0,1,1
48.0,4,281692.2063472834,10.0,2,3,1,0,0,0.0,0.0,50.0,1,1
52.0,4,122799.46210530163,9.0,2,2,1,0,0,0.0,1987.0155534397811,40.0,1,1
49.0,4,188771.47203653405,13.0,2,6,1,0,0,7948.096308812923,0.0,40.0,1,1
52.07223367952544,4,191450.03739443544,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
61.0,4,106080.73509645027,9.0,2,5,1,0,1,0.0,0.0,40.0,1,1
40.0,4,187269.82396417743,13.0,2,7,1,0,0,0.0,0.0,35.0,1,1
39.0,5,142467.29884742975,13.0,2,6,1,0,1,0.0,0.0,40.0,1,1
33.0,4,34860.62359239074,10.0,-1,2,0,0,0,0.0,0.0,48.0,1,1
35.0,4,196405.61632709933,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
43.0,4,53914.84134700714,10.0,2,6,1,0,1,0.0,0.0,42.79617330364938,1,1
57.0,5,149289.32114253513,13.0,-1,3,0,0,1,14576.520459917738,0.0,55.47468336494495,1,1
61.0,4,313932.1299078977,9.0,2,2,1,0,0,0.0,0.0,40.0,1,1
50.0,5,253961.18664273495,9.0,-1,2,0,0,0,0.0,0.0,40.0,1,1
58.93737396909229,6,103186.07055849601,13.0,2,6,1,0,0,0.0,0.0,40.0,1,1
42.0,4,103506.5186435388,9.0,2,3,1,0,0,5013.0,0.0,40.0,1,1
57.0,4,111100.71448291544,9.0,2,3,1,0,0,4650.0,0.0,40.0,1,1
28.047673217912674,4,95916.9386272893,13.0,2,3,1,0,0,0.0,0.0,50.0,1,1
50.0,4,248356.83298951652,14.0,2,6,1,0,0,0.0,0.0,40.0,1,1
35.0,4,311606.0934886076,12.0,2,7,1,0,0,0.0,0.0,50.0,1,1
54.0,4,45026.733036033416,14.0,2,3,1,0,0,0.0,0.0,60.0,1,1
38.0,1,67345.3705170761,14.0,2,7,1,0,0,0.0,2034.8774599757458,46.0,1,1
