user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
43138,0,23.0,R,515.0,0,0,0,0,0,187,0,0,11,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,60.0,2.0,0
14812,0,39.0,R,572.0,1,1,12,1,0,15,0,0,1,1,1,1,1,1,2,na,0,0,0,0,Pisces,0,0,3.0,0.1,1
66438,0,21.0,na,519.0,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,Semi-Monthly,0,0,0,0,na,0,0,1.0,0.03,0
44965,0,30.0,na,565.0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,1.0,0.03,0
23279,0,30.0,na,430.0,1,0,35,1,0,68,0,0,8,1,0,0,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,13.0,0.93,1
35748,0,61.0,na,,1,0,12,1,0,20,0,0,9,1,0,0,0,1,0,na,0,0,0,0,Pisces,0,0,5.0,0.1699999999999999,0
36928,0,30.0,na,566.0,1,0,45,1,0,86,0,0,6,1,1,1,1,0,0,Weekly,0,0,0,0,na,0,0,25.0,0.83,1
29128,0,33.0,R,546.0,0,0,0,0,0,6,0,0,1,1,1,1,1,0,0,Weekly,0,0,0,0,Taurus,1,0,4.0,0.13,1
18480,0,38.0,O,597.0,0,0,5,0,0,107,0,0,2,1,1,1,1,0,0,Monthly,0,0,0,0,Taurus,1,0,51.0,1.7,0
58405,0,24.0,R,,0,0,18,0,0,108,0,0,2,1,0,0,1,0,0,na,0,0,0,0,Leo,0,0,39.0,1.3,0
9109,0,29.0,R,494.0,0,0,3,0,0,163,0,0,24,1,0,0,0,1,0,na,0,0,0,0,Scorpio,0,0,55.0,1.83,0
68304,0,32.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Aries,1,0,,0.0,0
15471,0,30.0,R,514.0,0,0,10,0,0,20,0,0,6,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,8.0,0.29,1
18355,0,40.0,na,502.0,41,10,46,34,0,158,0,0,22,1,0,0,0,1,0,na,0,0,0,0,Virgo,0,0,41.0,1.37,1
27876,0,18.0,na,613.0,0,0,9,0,0,16,0,0,1,1,0,0,1,0,0,Weekly,0,0,0,0,Scorpio,1,0,7.0,0.23,0
37443,0,44.0,R,552.0,0,0,138,0,0,262,0,0,9,1,1,1,0,1,2,na,0,0,0,0,Scorpio,0,0,58.0,1.93,1
19541,0,37.0,R,546.0,0,0,0,0,1,219,0,0,20,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Virgo,0,0,71.0,2.37,1
18213,0,26.0,na,514.0,0,0,10,0,0,41,0,0,3,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Aries,0,0,8.0,0.27,1
28381,0,30.0,na,505.0,0,0,0,0,0,80,0,0,11,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Pisces,0,0,30.0,1.0,0
48191,0,28.0,na,,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,4.0,0.13,0
18180,0,24.0,na,,0,0,20,0,0,48,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,14.0,0.64,0
33012,0,24.0,R,552.0,0,0,0,0,1,168,1,0,16,1,1,1,0,1,0,na,0,0,0,0,na,0,0,57.0,1.9,1
18247,0,30.0,na,,0,0,4,0,0,142,0,0,8,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,44.0,1.47,0
78,0,44.0,na,555.0,2,1,61,1,0,243,0,0,12,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,51.0,1.7,1
46886,0,34.0,R,681.0,8,0,0,8,0,275,0,0,41,1,0,0,0,1,0,Weekly,0,0,0,0,Taurus,0,0,66.0,2.2,0
48651,0,28.0,na,621.0,9,2,31,9,0,59,0,0,3,1,1,1,1,0,0,Monthly,0,0,0,0,Scorpio,1,0,24.0,0.8,1
34790,0,45.0,R,584.0,41,1,71,41,0,279,0,0,11,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,62.0,2.07,1
57759,0,37.0,O,580.0,0,0,34,0,0,95,0,0,18,1,1,1,0,1,0,Monthly,0,0,0,0,Leo,0,0,19.0,0.9,0
3488,0,19.0,na,,1,0,290,1,0,275,0,0,26,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,67.0,2.23,0
18069,0,35.0,na,496.0,0,0,0,0,0,252,0,0,4,1,0,0,0,1,0,Monthly,0,0,0,0,na,0,0,67.0,2.23,0
25799,0,34.0,O,651.0,29,5,47,27,0,131,0,0,16,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aries,1,0,37.0,1.23,1
38153,0,31.0,na,622.0,0,0,14,0,0,253,0,0,10,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,66.0,2.2,0
42163,0,27.0,R,576.0,0,0,3,0,0,157,0,0,5,1,1,1,1,1,2,Weekly,0,0,0,0,Aries,0,0,46.0,1.53,0
58368,0,46.0,R,530.0,0,0,4,0,0,6,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,3.0,0.1,0
59849,0,40.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Weekly,0,0,0,0,na,0,0,,0.0,0
4674,0,27.0,R,516.0,4,0,60,4,0,124,0,0,10,1,0,0,1,0,0,Weekly,0,0,0,0,Libra,0,0,41.0,1.37,0
21822,0,51.0,na,,0,0,0,0,1,11,0,0,1,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,10.0,0.33,0
34122,0,26.0,na,515.0,2,0,10,2,0,15,0,0,2,1,1,1,0,1,0,Weekly,0,0,0,0,Cancer,0,0,5.0,0.1699999999999999,0
2063,0,37.0,na,614.0,0,0,10,0,0,0,0,0,0,1,1,1,1,0,2,Monthly,0,0,0,0,Aries,0,0,5.0,0.36,0
60757,0,62.0,O,599.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Semi-Monthly,0,0,0,0,Libra,0,0,,0.0,0
27122,0,28.0,R,535.0,0,0,0,0,1,241,0,0,20,1,0,0,0,1,0,Weekly,0,0,0,0,Leo,0,0,65.0,2.17,0
25617,0,25.0,na,,0,0,18,0,0,39,0,0,0,1,0,0,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,13.0,0.5900000000000001,0
33177,0,62.0,R,651.0,0,0,0,0,0,276,0,0,39,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,1,0,62.0,2.07,1
32132,0,41.0,R,,0,0,20,0,0,260,0,0,0,1,1,1,0,1,0,Weekly,0,0,0,0,Capricorn,1,0,62.0,2.07,0
65747,0,25.0,R,,4,0,8,4,0,16,0,0,7,1,0,0,1,0,2,Bi-Weekly,0,0,0,0,Sagittarius,0,0,6.0,0.86,1
43102,0,24.0,O,638.0,0,0,47,0,0,119,0,0,7,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,34.0,1.13,1
38388,0,31.0,R,490.0,0,0,0,0,1,135,0,0,4,1,1,1,1,0,0,na,0,0,0,0,na,0,0,42.0,1.4,0
11797,0,34.0,na,526.0,0,0,4,0,0,5,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,3.0,0.12,1
69523,0,44.0,na,545.0,1,0,5,1,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,3.0,0.13,0
56150,0,36.0,na,502.0,24,1,63,23,0,223,0,0,8,1,1,1,1,0,2,Monthly,0,0,0,0,Libra,1,0,47.0,1.5699999999999998,0
13935,0,31.0,R,426.0,5,1,19,5,0,51,0,0,9,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Taurus,0,0,11.0,0.37,1
31322,0,35.0,na,,40,1,45,39,0,132,0,0,5,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,1,0,43.0,1.4300000000000002,0
68194,0,24.0,na,501.0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,2,Weekly,0,0,0,0,Aries,0,0,2.0,0.0699999999999999,1
49301,0,34.0,na,,0,0,49,0,0,74,0,0,6,1,0,0,1,0,0,Weekly,0,0,0,0,Aries,0,0,16.0,0.53,1
14157,0,50.0,R,,1,3,16,1,0,30,0,0,7,1,1,1,1,0,0,Monthly,0,0,0,0,Aries,0,0,9.0,0.56,0
58001,0,32.0,na,527.0,0,0,3,0,0,3,0,0,0,1,0,0,1,0,0,Semi-Monthly,0,0,0,0,Sagittarius,0,0,,0.0,1
67980,0,29.0,R,,0,0,7,0,0,1,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,1,0,0,Virgo,1,0,6.0,0.2,0
26546,0,30.0,R,416.0,8,1,43,8,0,143,0,0,5,1,1,1,1,0,2,na,0,0,0,0,Leo,0,0,33.0,1.1,1
16302,0,22.0,R,581.0,0,0,0,0,0,214,0,0,12,1,1,1,0,1,0,na,0,0,0,0,Leo,0,0,67.0,2.23,0
58990,0,27.0,na,474.0,0,0,13,0,0,19,0,0,3,1,0,0,1,0,0,Weekly,0,0,0,0,Sagittarius,0,0,7.0,0.25,0
58109,0,44.0,na,507.0,1,1,47,1,0,66,0,0,12,1,1,1,1,0,0,na,0,0,0,0,Libra,0,0,8.0,0.27,1
67254,0,34.0,na,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,,0.0,0
64585,0,24.0,na,,0,0,3,0,0,6,0,0,2,1,0,0,1,1,2,na,0,0,0,0,Scorpio,0,0,2.0,0.22,0
36598,0,25.0,na,,0,0,11,0,0,15,0,0,0,1,1,1,0,1,0,na,0,0,0,0,Leo,0,0,7.0,0.23,0
65722,0,30.0,O,,0,0,5,0,0,10,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Taurus,0,0,3.0,0.43,0
48304,0,25.0,R,526.0,1,0,44,1,0,122,0,0,2,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,28.0,0.93,0
13840,0,32.0,R,,0,0,30,0,0,70,0,0,3,1,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,19.0,0.83,1
20692,0,34.0,R,422.0,0,0,137,0,0,304,0,0,23,1,0,0,1,0,0,na,0,0,0,0,Leo,0,0,65.0,2.17,0
11933,0,28.0,O,582.0,37,1,94,37,0,229,0,0,37,1,1,1,0,1,0,Bi-Weekly,0,1,0,0,Cancer,1,0,33.0,1.1,1
48367,0,27.0,na,500.0,0,0,7,0,0,77,0,0,14,1,1,1,0,1,0,na,0,0,0,0,Aries,0,0,34.0,1.13,0
42238,0,34.0,na,467.0,7,0,17,7,0,39,0,0,2,1,0,0,1,0,0,Weekly,0,0,0,0,Scorpio,0,0,8.0,0.33,0
29146,0,25.0,R,531.0,0,0,0,0,0,72,0,0,7,1,1,1,0,1,3,Bi-Weekly,0,0,0,0,Libra,0,0,16.0,0.53,0
52152,0,32.0,na,,0,0,3,0,0,10,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,2.0,0.0699999999999999,1
54896,0,20.0,na,475.0,1,0,5,1,0,20,0,0,2,1,1,1,1,0,0,na,0,0,0,0,Virgo,0,0,5.0,0.1699999999999999,0
37492,0,38.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Monthly,0,0,0,0,Cancer,0,0,,0.0,0
18681,0,23.0,na,,2,0,30,2,0,70,0,0,0,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Sagittarius,0,0,18.0,0.6,0
38556,0,27.0,O,571.0,0,0,0,0,0,195,0,0,20,1,1,1,0,1,0,na,0,0,0,0,na,0,0,64.0,2.13,0
62284,0,34.0,na,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,,0.0,0
61837,0,29.0,na,557.0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.0,0.04,0
22693,0,30.0,R,569.0,0,0,91,0,0,235,0,0,17,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,1,0,63.0,2.1,0
34542,0,21.0,O,580.0,0,0,11,0,0,27,0,0,0,1,0,0,0,1,0,na,0,0,0,0,Aries,0,0,27.0,0.9,0
13363,0,22.0,R,564.0,0,0,3,0,0,13,0,0,0,1,0,0,1,0,0,na,0,0,0,0,Cancer,0,0,1.0,0.03,0
53757,0,27.0,na,565.0,0,0,24,0,0,60,0,0,2,1,0,0,0,1,0,na,0,0,0,0,Leo,0,0,14.0,0.54,0
21672,0,52.0,R,404.0,35,0,88,29,0,232,0,0,17,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Leo,1,0,61.0,2.03,1
