age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,cond
23.0,R,515.0,0,0,0,0,0,187,0,0,11,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,60.0,2.0,0,0
39.0,R,572.0,1,1,12,1,0,15,0,0,1,1,1,1,1,1,2,na,0,0,0,0,Pisces,0,0,3.0,0.1,1,0
21.0,na,519.0,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,Semi-Monthly,0,0,0,0,na,0,0,1.0,0.03,0,0
30.0,na,565.0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,1.0,0.03,0,0
30.0,na,430.0,1,0,35,1,0,68,0,0,8,1,0,0,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,13.0,0.93,1,0
61.0,na,,1,0,12,1,0,20,0,0,9,1,0,0,0,1,0,na,0,0,0,0,Pisces,0,0,5.0,0.1699999999999999,0,0
30.0,na,566.0,1,0,45,1,0,86,0,0,6,1,1,1,1,0,0,Weekly,0,0,0,0,na,0,0,25.0,0.83,1,0
33.0,R,546.0,0,0,0,0,0,6,0,0,1,1,1,1,1,0,0,Weekly,0,0,0,0,Taurus,1,0,4.0,0.13,1,0
38.0,O,597.0,0,0,5,0,0,107,0,0,2,1,1,1,1,0,0,Monthly,0,0,0,0,Taurus,1,0,51.0,1.7,0,0
24.0,R,,0,0,18,0,0,108,0,0,2,1,0,0,1,0,0,na,0,0,0,0,Leo,0,0,39.0,1.3,0,0
29.0,R,494.0,0,0,3,0,0,163,0,0,24,1,0,0,0,1,0,na,0,0,0,0,Scorpio,0,0,55.0,1.83,0,0
32.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Aries,1,0,,0.0,0,0
30.0,R,514.0,0,0,10,0,0,20,0,0,6,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,8.0,0.29,1,0
40.0,na,502.0,41,10,46,34,0,158,0,0,22,1,0,0,0,1,0,na,0,0,0,0,Virgo,0,0,41.0,1.37,1,0
18.0,na,613.0,0,0,9,0,0,16,0,0,1,1,0,0,1,0,0,Weekly,0,0,0,0,Scorpio,1,0,7.0,0.23,0,0
44.0,R,552.0,0,0,138,0,0,262,0,0,9,1,1,1,0,1,2,na,0,0,0,0,Scorpio,0,0,58.0,1.93,1,0
37.0,R,546.0,0,0,0,0,1,219,0,0,20,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Virgo,0,0,71.0,2.37,1,0
26.0,na,514.0,0,0,10,0,0,41,0,0,3,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Aries,0,0,8.0,0.27,1,0
30.0,na,505.0,0,0,0,0,0,80,0,0,11,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Pisces,0,0,30.0,1.0,0,0
28.0,na,,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,4.0,0.13,0,0
24.0,na,,0,0,20,0,0,48,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,14.0,0.64,0,0
24.0,R,552.0,0,0,0,0,1,168,1,0,16,1,1,1,0,1,0,na,0,0,0,0,na,0,0,57.0,1.9,1,0
30.0,na,,0,0,4,0,0,142,0,0,8,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,44.0,1.47,0,0
44.0,na,555.0,2,1,61,1,0,243,0,0,12,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,51.0,1.7,1,0
34.0,R,681.0,8,0,0,8,0,275,0,0,41,1,0,0,0,1,0,Weekly,0,0,0,0,Taurus,0,0,66.0,2.2,0,0
28.0,na,621.0,9,2,31,9,0,59,0,0,3,1,1,1,1,0,0,Monthly,0,0,0,0,Scorpio,1,0,24.0,0.8,1,0
