age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,cond
24.170443,R,480.77344,0.0,0.0,1.0,0.0,1.0,37.83546,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Gemini,0.0,0.0,14.0,0.6,0.0,0
52.0,na,571.0,5.0,2.0,56.0,6.0,0.0,127.576096,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,Monthly,0.0,0.0,0.0,0.0,Virgo,0.0,0.0,45.0,1.47,1.0,0
33.454468,R,548.2308,1.0,1.0,191.58467,1.0,0.0,295.7333,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,na,0.0,0.0,0.0,0.0,Gemini,0.0,0.0,66.0,2.2,1.0,0
28.0,R,601.1561,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,49.0,1.63,0.0,0
27.0,na,548.91614,3.0,0.0,0.0,3.0,0.0,85.61091,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Sagittarius,0.0,0.0,32.042957,1.03,1.0,0
26.0,R,548.2308,1.0,0.0,80.0,1.0,0.0,221.52362,0.0,0.0,19.0,1.0,1.0,1.0,1.0,1.0,3.0,na,0.0,0.0,0.0,0.0,Taurus,0.0,0.0,50.957443,1.67,1.0,0
51.0,na,508.98596,0.0,0.0,52.332005,0.0,0.0,129.59706,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,Monthly,0.0,0.0,0.0,0.0,Libra,0.0,0.0,32.042957,1.27,0.0,0
29.0,R,580.5864,0.0,0.0,0.0,0.0,0.0,87.92422,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Aries,0.0,0.0,43.0,1.3477834,0.0,0
21.0,na,548.2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,na,0.0,0.0,0.0,0.0,Virgo,0.0,0.0,32.042957,0.0,0.0,0
31.0,na,561.0,0.0,0.0,6.916446,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,na,0.0,0.0,0.0,0.0,Virgo,0.0,0.0,4.0,0.33,0.0,0
