age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,cond
22.0,na,541.0,20.486534,0.0,48.0,22.0,0.0,111.45964,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,Bi-Weekly,0.0,1.0,0.0,0.0,Pisces,0.0,0.0,29.0,0.93,1.0,0
24.0,R,573.0,0.0,0.0,0.0,0.0,0.0,256.78168,1.0,0.0,29.58688,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Libra,1.0,0.0,75.456314,2.520223,0.0,0
22.0,na,538.79156,5.5695415,0.0,18.0,6.0,0.0,34.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Gemini,1.0,0.0,14.856301,0.63,0.0,0
22.0,R,548.2308,0.0,0.0,78.64128,0.0,0.0,243.45377,0.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,Weekly,0.0,0.0,0.0,0.0,Aquarius,1.0,0.0,54.0,1.77,1.0,0
37.0,R,558.8843,10.361029,0.0,49.459892,10.0,0.0,141.89038,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Aries,0.0,0.0,36.0,1.3,1.0,0
26.0,R,489.03482,0.0,0.0,62.0,0.0,0.0,132.88571,0.0,0.0,12.0,1.0,1.0,1.0,0.0,1.0,2.0,Weekly,0.0,0.0,0.0,0.0,Taurus,0.0,0.0,32.042957,1.1703141,0.0,0
39.0,O,406.68182,0.0,0.0,0.0,0.0,1.0,130.0354,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,Bi-Weekly,0.0,0.0,0.0,0.0,Gemini,1.0,0.0,60.0,2.0,1.0,0
32.0,na,449.80624,35.203026,1.0,55.0,35.278347,0.0,163.35129,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,Monthly,0.0,0.0,0.0,0.0,Aquarius,0.0,0.0,44.412132,1.4,1.0,0
48.0,O,609.0,0.0,0.0,0.0,0.0,0.0,143.71074,0.0,1.0,27.845505,1.0,1.0,1.0,0.0,1.0,0.0,Weekly,0.0,0.0,0.0,0.0,Aquarius,0.0,0.0,54.0,1.77,0.0,0
68.0581,O,506.38422,0.0,0.0,21.928625,0.0,0.0,55.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,na,0.0,0.0,0.0,0.0,Aries,0.0,0.0,13.630045,0.77,0.0,0
