RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
0,78,155,5,70,20,0,0,100,-7,7,8,20,1,20,0,1,1,41,22,2,3,1,63
0,71,194,12,69,29,0,0,93,6,4,6,31,0,27,2,2,2,36,69,4,2,1,67
0,85,182,13,74,10,0,0,100,-7,7,8,10,0,50,18,0,0,12,34,4,2,0,86
0,56,274,3,95,43,0,0,89,0,4,6,44,4,23,0,1,1,58,47,13,6,7,72
0,84,186,6,93,22,0,0,100,-7,7,8,25,1,32,0,0,0,0,71,1,2,-8,50
0,89,388,14,116,12,0,0,100,-7,7,8,47,0,25,-8,0,0,8,-8,4,-8,0,80
0,72,269,2,86,25,0,0,85,0,4,6,26,1,12,0,2,2,1,-8,3,1,0,29
0,83,81,10,43,14,0,0,100,-7,7,8,14,1,43,19,0,0,17,87,6,2,0,100
0,82,357,22,139,27,0,0,97,64,6,6,30,0,37,0,0,0,0,-8,2,1,0,57
0,79,252,10,99,26,1,1,89,38,5,3,28,1,43,10,0,0,2,15,3,2,0,56
0,77,188,2,57,34,0,0,100,-7,7,8,38,3,24,0,9,9,4,70,3,3,0,35
0,81,279,5,84,25,0,0,100,-7,7,8,25,2,28,4,1,1,17,60,5,2,0,54
0,76,333,8,145,15,1,1,94,70,6,4,16,2,19,-7,4,4,32,-8,2,-8,0,50
0,75,80,6,91,14,1,1,93,11,0,2,4,1,33,-8,0,0,26,32,4,2,0,67
0,81,297,7,84,23,0,0,100,-7,7,8,23,2,9,0,1,1,23,8,4,1,0,28
0,64,98,3,50,31,0,0,97,14,6,6,32,3,56,0,2,2,46,21,4,6,1,83
0,68,184,2,69,7,0,0,58,1,4,6,12,2,67,6,0,0,4,57,2,5,0,78
0,89,-8,3,114,19,0,0,100,-7,7,8,0,1,26,-8,0,0,2,94,2,2,0,57
0,88,354,17,117,21,0,0,100,-7,7,8,21,0,62,-7,0,0,15,-8,2,3,0,71
0,70,133,5,63,21,2,1,91,9,4,5,23,3,18,-7,0,0,16,-8,2,1,0,30
0,80,404,12,105,35,0,0,100,-7,7,8,36,0,26,0,3,3,32,61,6,2,0,57
0,85,173,16,51,9,0,0,100,-7,7,8,28,0,0,0,1,1,13,-8,4,-8,0,80
