ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,cond
74.0,232.72511,1.0,80.0,16.0,1.0,0.0,94.0,69.422874,6.0,5.5939565,17.593653,2.0,32.0,-7.2972107,1.0,1.0,26.95787,91.066376,7.0,3.0,1.0,75.0,0.0
68.0,125.0093,7.0,70.0,17.0,2.2034814,2.0,86.1546,55.384792,6.0,6.0,23.0,5.812095,33.567806,3.0,1.0,1.0,56.31202,90.93362,4.0,4.0,1.0,83.0,0.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0
57.065006,176.25777,4.0,58.0,25.0,1.0,1.0,64.41285,-7.0,-9.0,2.0,25.0,1.0,24.0,1.0,2.0,1.0,33.065495,65.98478,6.0,3.0,1.0,67.0,0.0
65.0,197.55069,3.0,94.0,27.823503,3.0,1.0,96.0,23.096972,6.0,2.9083495,29.884565,3.0,38.0,15.874508,0.0,0.0,26.825693,-8.0,11.0,2.0,0.0,77.21308,0.0
72.0,196.02121,3.0,80.0,36.029007,0.0,0.0,100.0,-7.0,7.0,8.0,45.882175,2.0,-9.0,0.0,1.0,1.0,34.993015,22.747538,4.0,2.0,3.0237565,40.0,0.0
74.0,156.89343,21.32388,80.0,17.0,0.0,0.0,83.92953,35.005684,6.0,6.0,15.0,0.0,37.0,0.0,3.0,3.0,31.472494,64.26988,3.0,2.0,0.0,66.65408,0.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0
67.0,232.80759,4.0,75.0,34.919155,0.0,0.0,96.0,4.0,6.0,6.0,33.93972,1.0,12.14687,0.0,2.0,2.0,29.186787,-8.0,6.0,1.0,6.925099,43.017815,0.0
71.49324,216.17485,6.0,71.574295,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,3.0,13.166758,0.0,0.0,0.0,43.639977,95.00161,9.0,2.0,1.0,69.63883,0.0
91.0,198.68779,20.0,130.72542,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,0.0,12.422651,0.0,0.0,0.0,1.270816,-8.0,2.0,1.0,0.0,31.338474,0.0
83.0,261.225,8.572989,94.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.921295,2.0,64.00525,9.0,0.0,0.0,0.0,51.102818,1.0,2.0,-9.0,79.64404,0.0
67.0,168.28833,5.0,78.11886,35.44638,1.0,0.0,98.012184,44.671185,6.0,5.0,34.0,2.0,39.5885,0.0,0.0,0.0,38.08152,68.14504,7.5053124,3.0,1.0,67.0,0.0
78.0,124.524284,6.0,36.09434,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,3.0,30.81296,0.49236968,3.0,2.0,1.0,96.951126,1.0,1.0,0.0,50.0,0.0
87.0,131.66344,22.619432,113.69457,21.0,0.0,0.0,95.0,37.691643,6.0,6.0,23.0,0.0,46.0,0.0,0.0,0.0,4.0,52.906857,2.0,2.0,0.0,78.0,0.0
61.978443,159.33821,4.0,71.0,18.0,3.0,1.0,79.6438,21.752855,6.0,4.0,15.0,2.0,18.0,0.41960517,2.0,1.0,44.25778,-8.0,9.0,1.0,4.174469,80.179,0.0
92.600975,340.12637,3.0,141.68867,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.589747,1.0,18.0,-7.0,0.0,0.0,3.0,36.919075,2.0,2.0,0.0,38.58868,0.0
67.06102,432.4592,2.0,100.0,25.0,1.0,0.0,94.0,11.386762,6.0,3.7289653,29.0,2.0,49.628876,-1.1908771,1.0,1.0,48.618973,-8.0,4.0,6.45515,3.0,73.0,0.0
71.55727,250.28151,3.1764069,80.0,39.0,3.4924712,0.0,89.03768,53.88122,6.0,2.0,45.83248,3.0,35.0,-7.0,3.0,3.0,28.55544,51.684765,7.0,3.0,1.0,67.0,0.0
75.0,277.86078,2.9938872,88.14808,30.0,0.0,0.0,91.37084,-7.0,4.0,6.0,29.0,3.0,44.553974,12.0,0.0,0.0,1.0,-8.0,4.0,3.0,0.0,50.0,0.0
81.76233,279.28363,4.0,108.32998,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,2.0,23.281546,-7.0,0.0,0.0,2.0,90.77487,2.0,2.0,0.0,55.782543,0.0
74.0,199.32399,2.0,61.0,41.86416,0.0,0.0,100.0,-7.0,7.0,8.0,43.770145,3.0661056,56.86132,0.0,4.0,3.7212029,35.47483,100.0,3.0,2.0,0.0,80.0,0.0
87.0,238.73663,8.0,146.31078,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.338323,2.0,16.625177,13.170963,0.0,0.0,8.030745,-8.0,2.0,-6.304989,0.0,60.0,0.0
86.0,138.74898,2.0,67.2077,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,4.634361,30.0,3.0,1.0,2.0,0.0,-8.0,4.0,1.0,0.0,60.0,0.0
73.0,226.53082,8.212574,67.0,28.055199,0.0,0.0,96.0,9.521284,6.0,6.0,26.630632,2.0,22.0,-7.0,0.0,0.0,18.0,82.6853,5.0,4.0,0.0,57.0,0.0
75.0,236.93494,10.0,82.0,18.331009,1.0,1.0,94.0,35.47745,6.0,3.1740515,23.679966,2.0,27.0,0.0,1.0,1.0,8.0,67.047935,5.0,2.0,0.0,59.93696,0.0
82.0,283.30173,14.968644,110.88379,22.0,0.0,0.0,94.0,5.6162267,6.0,6.0,19.0,0.0,15.285456,5.4230466,0.0,0.0,12.455823,-8.0,4.0,1.0,0.0,48.0393,0.0
85.93698,386.29132,4.0,137.39449,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,1.0701551,26.296505,3.0,0.0,0.0,1.0,-8.0,3.753653,2.0,0.0,52.105766,0.0
65.0,219.8425,3.0,119.24003,7.3826447,2.0,2.015928,81.80661,35.11502,6.0,0.011827006,9.85178,2.0,59.035652,0.46622247,3.0,2.0,51.949295,30.961205,1.0,1.0,1.0,77.56747,0.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0
69.0,178.34427,2.0,63.27423,40.599945,0.0,0.0,97.0,7.8647738,5.6625066,6.0,46.30977,2.0,45.882553,2.0,1.0,1.0,17.0,-8.0,4.0,5.0,3.0,60.0,0.0
70.57309,148.55746,1.0,79.0,21.950224,2.0,1.0,89.0,19.72366,6.0,4.0,26.0,4.73177,59.11365,-5.059874,1.0,1.0,0.0,73.90944,1.0,5.0,0.0,50.0,0.0
82.0,167.04059,1.2484845,53.776127,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,4.0,18.0,10.52064,0.0,0.0,12.0,-8.0,3.0,-3.4797933,0.0,40.632698,0.0
70.0,76.69284,10.0,76.0,27.0,1.0,0.0,92.43949,39.156536,6.0,5.0,31.0,0.6854367,54.500637,-7.0,0.0,0.0,72.581505,35.41128,5.0,2.0,2.0,91.89361,0.0
55.681293,223.8496,2.0,93.0,44.022217,1.0,1.0,94.0,-7.0,-9.0,6.0,47.262627,3.0,26.0,0.0,2.0,1.8808161,41.59043,66.704895,9.0,3.2780516,0.0,67.0,0.0
82.0,139.77438,12.0,94.0,27.0,0.0,0.0,94.0,66.42514,6.0,6.0,26.34862,0.0,27.358404,0.0,1.0,1.0,2.0673046,-8.0,2.0,1.0,0.0,45.386086,0.0
71.0,186.31775,6.0,39.40721,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,38.69222,4.0,18.0,-7.0,2.0,2.5827627,45.3046,90.88644,5.0,3.0,1.0,56.159737,0.0
68.02025,254.30609,1.0,91.50217,36.0,1.0,0.0,90.0,47.01683,6.0,6.0,42.62219,6.0,49.40189,0.0,2.0,2.0,54.733006,55.131413,6.0,4.0,1.0,78.0,0.0
70.0,225.42253,4.0,103.22886,17.0,1.0,1.0,95.0,16.64466,6.0,6.0,22.0,2.0,50.0,0.0,2.0,2.0,65.03178,76.54595,2.0,2.0,1.0,75.0,0.0
79.0,169.66327,12.730185,63.241886,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,1.0,0.0,0.0,1.0,1.0,18.576475,-8.0,4.0,-9.0,0.0,70.0,0.0
-9.0,174.59169,32.952442,69.914894,10.0,4.3771853,7.155885,66.471756,4.0,-9.0,-5.88138,12.0,0.0,98.95052,0.0,1.0,1.0,0.0,69.45086,-9.0,3.0,0.0,63.273586,0.0
77.84004,322.1592,1.0,83.61556,53.965256,0.0,0.0,94.0,26.975107,6.0,6.0,50.5278,3.0,17.0,0.0,2.0,2.0,14.0,-8.0,4.0,2.0,0.0,25.49674,0.0
68.0,283.25037,5.0,101.62225,31.0,3.0,2.0,88.0,17.559309,4.0,5.0796714,34.0,1.0,47.0,0.0,5.3334446,5.6569486,47.96188,20.213896,8.042249,3.0,1.0,88.662384,0.0
87.0,367.37943,5.0,122.84725,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,20.0,0.0,1.0,1.0,0.0,-8.0,3.0,1.0,0.0,33.0,0.0
74.0,147.90219,4.018928,71.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,1.2775269,50.0,4.0,0.0,0.0,60.6401,58.248257,3.0,2.0,3.0,70.37318,0.0
