ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,cond
73.60668,247.51117,10.0,119.03324,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.498112,0.0,25.0,0.0,4.0,4.0,87.56142,-8.0,3.0,1.0,2.0,80.0,0.0
64.19461,186.83148,19.737946,76.0,13.788527,1.0,1.0,65.789375,30.928074,6.0,3.0,15.0,0.0,36.0,0.0,0.0,0.0,37.57002,-8.0,1.0,3.0,0.0,83.0,0.0
87.0,783.3219,22.041714,146.48686,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,0.0,29.058283,0.0,0.0,0.0,4.7710524,81.43981,3.0,2.0,0.0,61.891262,0.0
81.42661,235.3201,6.0,88.53839,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,1.0,34.340347,6.0,1.0,1.0,21.891226,-8.0,1.0,1.0,0.0,44.0,0.0
70.0,-1.7266817,3.0,48.459366,6.342499,0.0,0.0,100.0,-7.0,7.0,8.0,4.8682637,1.0,74.12197,0.0,4.0,3.9228783,78.42803,-8.0,2.0,1.0,1.6943684,100.0,0.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0
67.02784,179.222,5.0,59.000195,30.71715,2.0,2.0,93.0,28.667618,6.0,2.0,28.0,3.0,52.91961,0.0,1.0,1.0,28.0,76.0,6.0,5.0,0.0,67.0,0.0
75.0,172.5298,3.0,100.99465,33.0,0.0,0.0,96.0,33.858326,6.0,6.0,12.0,6.0,22.0,5.3883953,0.0,0.0,30.882662,-8.0,6.0,1.0,0.0,38.54164,0.0
70.0,116.96859,25.070097,109.780785,10.0,1.0,1.0,87.87998,4.0,4.0,4.2959857,12.0,0.0,35.0,-8.0,0.0,0.0,1.0,62.10945,2.0,2.0,0.0,67.0,0.0
80.0,404.62704,39.819508,140.11827,20.0,0.0,0.0,97.0,21.211214,6.0,6.0,30.0,0.0,17.834227,0.0,0.0,0.0,15.267285,-8.0,5.0,-8.0,0.0,62.705364,0.0
