ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,cond
65.0,102.690025,2.0,49.36281,24.0,1.0,0.0,92.0,30.353941,6.0,2.0,23.0,4.0,67.10587,0.0,1.0,1.0,38.77622,98.42229,4.0,11.019102,2.0,86.0,1.0
69.703705,141.12088,3.0,-9.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.226162,6.0,63.796146,0.0,2.0,2.0,36.45706,106.175995,3.0,6.8379607,0.0,75.0,1.0
67.36638,-9.0,2.0,-9.0,5.5411363,0.0,0.0,92.0,16.274643,6.0,6.0,8.723746,8.692097,33.0,3.0,1.0,0.057645466,12.0,72.88512,3.0,1.0,0.0,49.636337,1.0
59.39234,162.23743,13.137181,39.921238,6.386489,0.0,0.0,77.96985,0.4848882,1.6800326,6.0,15.0,1.2726483,74.93528,0.0,0.0,0.0,59.527214,38.18588,1.0,2.0,1.0,100.0,1.0
73.0,212.39154,5.0,60.759777,29.0,0.0,0.0,97.0,12.071875,5.0,6.0,40.576744,5.0,24.0,0.0,4.0,3.8992667,25.0,91.0,8.960337,2.0,1.0,100.0,1.0
59.328247,170.50641,23.689173,56.34155,-9.0,1.0,1.0,68.24136,4.6901,4.0,5.0,10.0,0.0,99.04189,0.0,2.0,2.0,11.0,50.24257,-4.3060656,2.0,-9.0,100.0,1.0
-9.0,142.37325,15.862056,63.435528,8.0,0.0,0.0,78.645966,15.655271,4.0,6.0,11.0,0.0,61.250587,0.0,0.0,0.0,119.29812,-8.0,2.0,2.0,3.0,94.5235,1.0
63.99324,153.52264,1.0,71.0266,-9.0,2.9142997,2.0,68.88006,19.501493,4.0,2.0,3.9808056,4.0,41.455494,0.0,2.1829777,2.0,28.53023,-8.0,2.0,1.0,0.0,100.0,1.0
-9.0,-8.0,3.0,53.992813,13.0,0.0,0.0,86.79565,16.769459,6.0,6.0,12.0,2.0,-9.0,1.0,0.0,0.0,75.109436,-8.0,9.0,1.0,5.455225,80.43389,1.0
65.0,232.18292,15.0,70.105225,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,0.0,63.480225,4.0,0.0,0.0,100.10396,66.09165,1.0,2.0,0.0,60.071556,1.0
42.938705,202.23175,8.0,95.32291,15.533338,2.0630865,0.0,77.01249,8.004917,4.0,5.0,14.0,2.0,36.73756,3.5411568,2.0,2.0,90.31788,-8.0,3.0,2.0,1.5614318,70.80145,1.0
54.449047,171.21365,2.0,32.563347,36.0,0.0,0.0,96.0,8.819087,6.0,3.0,44.228607,10.859726,20.0,0.0,6.9410453,6.941733,44.0418,52.099026,11.0,4.0,3.0,75.0,1.0
63.0,245.92677,3.0,58.0,9.8743305,4.921958,2.5376248,56.5153,11.82729,6.0,-9.0,11.0,2.0,50.0,0.0,5.0,4.246941,1.0,87.89612,0.6150912,2.0,-8.0,41.058453,1.0
62.93201,212.17145,28.773745,58.0,9.0,0.0,0.0,85.1144,22.326479,6.0,6.0,16.0,0.0,83.69891,-8.0,1.0,1.0,88.610306,61.59507,3.0,2.0,1.0,100.0,1.0
