ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,cond
-9.0,312.37598,27.34142,95.28501,17.609676,0.0,0.0,81.22509,3.0,6.0,6.0,23.0,0.0,14.0,5.0,1.0,0.0,74.593994,-8.0,10.245119,-8.0,3.0,88.0,1.0
64.436485,72.77388,34.18747,61.37931,-9.0,1.0,0.0,-9.0,12.171278,6.0,4.0,0.1568337,0.0,89.243546,1.0,0.0,0.0,0.0,-8.0,-9.0,-8.0,-8.545123,43.0,1.0
62.0,117.2429,4.0,33.26081,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,3.0,33.0,0.0,2.0,2.0,94.73023,89.67702,4.0,5.7355666,2.0,87.52434,1.0
71.0,-8.861076,13.0,30.354153,7.2897215,0.0,0.0,100.0,-7.0,7.0,8.0,7.4794817,0.0,56.28843,0.5243393,1.0,1.0,0.0,71.62053,0.9319614,2.0,0.0,26.155983,1.0
63.0,125.53605,6.0,62.199333,17.0,0.0,0.0,88.0,36.329857,6.0,6.0,19.0,2.0,65.00822,0.0,0.0,0.0,84.36454,97.65583,3.0,7.0106277,1.0,86.0,1.0
60.01447,-6.082423,10.0,-9.0,8.0,0.0,0.0,100.0,-7.0,7.0,8.0,4.6740737,0.0,47.0,21.283682,0.0,0.0,94.48967,87.32756,3.0,2.0,2.0,86.0,1.0
66.036194,-9.0,8.0,17.653225,9.186896,0.0,0.0,100.0,-7.0,7.0,8.0,2.5181289,2.0,99.91952,0.0,2.0,2.0,-6.9596906,64.10152,0.0,2.0,0.0,67.0,1.0
68.0,62.29227,2.0,32.076977,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,3.0,98.66768,-7.0,0.0,0.0,94.49621,85.53975,2.0,2.0,3.0,99.57322,1.0
57.16313,-9.0,3.0,30.23481,18.0,0.0,0.0,94.0,22.800678,6.0,6.0,3.1679904,6.0,13.0,2.0,6.438903,6.243732,22.793907,68.48489,3.0,2.0,1.0,46.018875,1.0
63.739323,145.15819,23.969837,47.42858,12.0,0.0,0.0,88.0,4.0,4.0,6.0,13.0,0.0,6.638764,1.0,1.0,1.0,46.54775,-8.0,3.0,1.0,1.0,57.615726,1.0
61.28764,-8.654647,-9.0,-9.0,8.627788,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,5.910604,28.0,0.0,2.0,1.3311774,18.545979,99.550095,3.0,4.0,0.0,67.0,1.0
61.439976,158.20052,12.0,58.78899,5.7829404,1.0,1.0,80.473404,18.842485,6.0,2.0,5.1388874,0.0,86.01335,1.0,2.0,2.0,108.08458,-8.0,1.0,1.0,0.0,100.0,1.0
-9.0,231.99178,19.358276,93.67319,12.0,1.0713481,0.0,77.13435,3.311874,-9.0,3.0,17.0,0.0,27.931149,8.272131,0.0,0.0,118.27519,34.17923,3.0,2.0,5.0322,86.0,1.0
-9.0,153.04698,15.632096,68.0,21.0,0.0,0.0,75.528786,-7.0,-9.0,6.0,25.703339,1.0,43.359688,0.0,2.0,2.0,74.67111,38.6015,8.0,3.0,2.0,100.0,1.0
63.0,99.06781,6.0,36.29785,17.0,1.9506062,2.0,88.154755,24.697168,6.0,6.0,18.100443,2.0,63.90025,-7.0,1.0,1.0,113.59826,82.19083,3.0,5.0,3.0,94.94577,1.0
63.745556,174.02338,1.0,47.14892,33.0,0.0,0.0,100.0,-7.0,7.0,8.0,37.0,3.0,24.0,0.0,2.0,1.0,52.076626,117.74384,4.0,3.0,1.0,65.2024,1.0
-9.0,184.00514,3.507685,39.456245,9.0,1.0,0.0,85.427155,1.0,-9.0,5.0,10.0,4.0,28.251085,0.0,1.0,1.0,93.68292,96.92909,4.0,3.0,3.9831755,85.990425,1.0
68.0,108.145874,5.0,36.796623,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,6.0,10.216655,0.0,0.0,0.0,59.265522,82.569016,6.0,1.2931306,1.0,75.3613,1.0
-9.0,-9.0,20.202448,-9.0,-9.0,0.0,0.0,100.0,-7.0,7.0,8.0,-9.0,0.0,100.0,-7.0,1.0,1.0,-9.0,-8.0,-9.0,-8.378069,-9.0,49.361626,1.0
53.621845,138.37294,6.0,63.44292,29.0,0.0,0.0,97.0,17.957413,6.0,6.0,28.0,3.0,11.686919,9.958902,0.0,0.0,61.39937,-8.0,23.77497,1.0,10.669141,75.0,1.0
75.004234,91.03416,27.623688,43.93233,9.0,0.0,0.0,86.66823,10.641123,6.0,6.0,8.0,0.0,91.06713,1.0,1.0,0.0,-7.98089,-8.0,0.0,1.0,0.0,57.0,1.0
64.02961,129.39116,-9.0,-9.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,3.0,27.0,0.0,2.0,2.0,46.80013,98.72169,7.0,6.0,3.0,67.70399,1.0
66.0,151.39417,52.692993,110.43173,6.0,1.0,0.0,80.7246,4.0,4.0,5.0,7.0,0.0,20.790426,17.81342,0.0,0.0,40.93491,-8.0,2.0,1.0,1.0,57.041294,1.0
57.712383,73.270546,27.775639,76.38569,36.0,0.0,0.0,100.0,-7.0,6.0,8.0,10.4401865,0.0,19.562115,4.953181,1.0,1.0,75.56741,-8.0,23.962177,2.0,8.533816,69.0997,1.0
71.0,49.78048,14.700985,40.71303,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,0.0,68.148964,0.0,1.0,1.0,0.0,97.70741,1.0,1.0,0.0,42.83858,1.0
64.43626,162.55852,6.0,42.95217,16.0,0.0,0.0,90.0,6.0,6.0,6.0,16.848766,1.0,25.0,0.0,0.0,0.0,34.71564,-8.0,2.0,2.0,0.0,47.67031,1.0
66.0,125.934166,12.0,51.098442,9.0,3.121473,2.0841868,91.0,60.953987,6.0,6.0,11.0,0.0,81.93097,0.0,1.0,1.0,110.88728,72.951485,3.0,2.0,0.0,100.0,1.0
64.233986,149.655,3.0,75.490295,32.0,1.0,0.0,89.24645,45.717342,6.0,5.0,36.498344,4.0,33.0,-7.0,0.0,0.0,47.225346,79.81942,11.018786,5.0,1.0,100.0,1.0
58.652878,176.22514,5.0,44.800014,22.0,0.0,0.0,97.0,21.115404,4.106328,6.0,21.925901,2.0,60.62602,2.0,4.0,4.0,74.44513,91.645226,3.6288266,3.0,2.0,83.61188,1.0
67.88109,96.339584,9.0,41.22596,16.0,0.0,0.0,92.57683,67.32418,6.0,5.0,15.296086,4.0,39.03469,1.0,0.0,0.0,64.68872,65.33026,4.0,3.0,1.0,77.58976,1.0
65.940056,130.28197,-9.0,30.66745,36.10163,1.0,0.0,96.86916,1.0,4.0,5.0,35.0,6.890661,6.537104,-7.0,2.0,2.0,12.0,-8.0,9.0,2.0,0.0,60.0,1.0
20.717712,130.30637,14.0,36.331337,12.637956,1.0,0.0,77.69699,-7.0,1.5646546,4.0,13.126172,0.0,47.0,3.0,0.0,0.0,61.33283,27.33483,2.0,3.0,1.0,60.0,1.0
59.59489,117.82662,34.884964,65.0,11.0,0.0,0.0,88.67109,52.396297,6.0,6.0,9.0,0.0,3.7837026,-7.0,10.030314,6.8349843,119.93044,-8.0,6.0,1.0,8.915335,100.0,1.0
58.40835,118.69108,2.0,44.53027,24.0,1.0,0.0,88.0,24.096296,6.0,6.0,23.0,4.0,14.0,0.0,6.5648065,6.5457187,32.0,-8.0,6.0,2.0,1.0,67.0,1.0
75.0,144.44539,153.25882,61.42353,-9.0,0.0,0.0,100.0,-7.0,7.0,8.0,-9.0,0.0,99.916405,0.0,0.0,0.0,0.0,-8.0,-9.0,1.0,-8.0,82.31901,1.0
64.0,221.91562,27.778072,78.75244,13.0,0.0,0.0,72.361984,9.283346,4.0,6.0,15.470326,0.0,61.299267,-7.0,2.0,1.9569168,73.50326,-8.0,3.0,2.0,2.0,100.0,1.0
71.0,-9.0,7.0,17.246346,3.0882056,0.0,0.0,100.0,-7.0,7.0,8.0,0.6502687,1.0,99.17987,-8.0,0.0,0.0,0.0,82.0,0.0,1.0,0.0,78.0,1.0
