RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1,66.0,72.15572928904105,16.768793882344003,36.103791015360365,5.5779897440967074,1.0,0.0,59.28298129100591,19.212241142146443,6.0,5.0,7.600086599159889,0.0,72.74809731143422,0.0,0.0,0.0,15.0,-8.0,1.0,1.0,0.0,73.0
1,71.0,201.1152628577245,16.0,100.36789420356416,33.78506174199482,0.0,0.0,96.0,-7.0,4.0,6.0,34.746884838959005,0.0,20.0,9.0,0.0,0.0,50.29231489219626,-8.0,9.0,1.0,3.0,63.85861798914255
1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1,73.0,227.04703848776919,2.0,92.74734188092086,13.0,0.0,0.0,84.86309684617017,4.0,4.0,6.0,14.0,1.0,20.0,0.0,1.0,1.0,2.121713794223698,-8.0,3.0,1.0,0.0,69.3508585730253
1,77.0,36.80054219073329,11.0,40.40365990437973,6.3615224281913365,0.0,0.0,100.0,-7.0,7.0,8.0,6.0,0.0,69.70832728138102,0.0,0.0,0.0,12.306245829185627,-8.0,1.0,1.0,0.0,73.793398517332
1,69.0,136.9271201828833,1.0,63.581756911586865,20.0,1.0,1.0,93.0,33.187776890494966,6.0,6.0,31.439674789481625,4.0,30.31103054899893,0.0,5.0,5.0,15.0,63.94730881295621,4.0,3.0,0.0,50.0
1,64.09543198881943,148.41745797226207,1.0,61.48268508985727,22.0,2.0,2.0,87.14692927888665,11.746303485363116,0.0,2.0,27.370848610524437,3.0,33.0,0.0,5.0,5.0,19.0,53.113983502696975,4.0,4.0,0.0,57.0
1,66.0,172.50403699513873,1.0,58.93204961312808,18.0,1.0,1.0,90.0,21.918181059379364,6.0,5.0,26.0,4.0,33.0,0.0,3.0,3.0,27.0,58.39938411692668,4.0,3.0,0.0,61.34858213103237
1,58.93010461370307,53.429888913331986,20.68654228901397,37.40234611024218,4.808429447088723,3.0,2.0,60.89006075681183,12.246767051261044,4.0,5.0,8.0,0.0,59.132733388984676,0.0,0.0,0.0,50.46745149937076,-8.0,2.0,1.0,0.0,77.07990183677464
1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1,69.0,108.42498488540016,4.0,37.867761404812256,18.03951737512492,0.0,0.0,100.0,-7.0,7.0,8.0,18.4948362012359,5.0,28.0,0.0,1.0,1.0,43.0,59.83340897305311,7.0,2.0,0.0,91.32948601373052
1,77.0,47.34862439437732,18.13699429057235,37.76268313492202,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.007510361844301,0.0,99.97757950197013,0.0,0.0,0.0,0.0,-8.0,0.0,1.0,-8.0,100.0
1,69.0,111.74047885115144,8.0,39.981221905520925,20.69151895585409,1.0,1.0,90.85391167791335,22.17139725075387,4.0,2.0,22.0,4.0,43.0,0.0,0.0,0.0,18.633080900290775,81.0,4.0,3.0,1.0,71.0
1,77.0,179.94284758767608,1.0,49.825727291142655,22.75495703506054,0.0,0.0,100.0,-7.0,7.0,8.0,28.0,4.0,35.0,0.0,2.0,2.0,12.10548749083545,76.0,3.0,3.0,0.0,68.5995142363475
1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1,64.3770349704458,94.4452917021683,7.0,38.87215875748384,20.866184596193534,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,3.0,38.0,0.0,2.0,2.0,58.55457325199689,97.31816116920265,8.0,2.0,3.0,67.0
1,65.0,79.16707563520117,6.264189761885061,35.22894488009462,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,1.0,28.0,0.0,1.0,1.0,75.17747189267602,-8.0,7.0,1.0,5.0,80.0
1,68.0,174.78752989281563,8.0,84.25546446056372,25.0,0.0,0.0,95.54923017680946,12.410898994162348,4.0,6.0,25.008209162776204,1.0,32.073635868718306,0.0,0.0,0.0,72.61137328610684,69.40892995432823,9.0,3.0,3.0,86.0
1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1,70.62918429804792,159.50859353565866,2.0,75.08459730606462,14.0,0.0,0.0,75.71005364420246,2.8285077412852067,4.0,6.0,14.0,2.0,15.264593180004278,5.0,1.0,1.0,3.940153821341307,-8.0,3.0,1.0,0.0,53.96333132028205
